Season,Matchday,Team,Rank
2024,1,Barcelona,1
2024,1,Celta Vigo,2
2024,1,Rayo Vallecano,3
2024,1,Valladolid,4
2024,1,Athletic Club,5
2024,1,Atletico Madrid,6
2024,1,Getafe,7
2024,1,Girona,8
2024,1,Las Palmas,9
2024,1,Leganes,10
2024,1,Mallorca,11
2024,1,Osasuna,12
2024,1,Real Betis,13
2024,1,Real Madrid,14
2024,1,Sevilla,15
2024,1,Villarreal,16
2024,1,Alaves,17
2024,1,Espanyol,18
2024,1,Real Sociedad,19
2024,1,Valencia,20
2024,2,Barcelona,1
2024,2,Celta Vigo,2
2024,2,Atletico Madrid,3
2024,2,Leganes,4
2024,2,Osasuna,5
2024,2,Rayo Vallecano,6
2024,2,Real Madrid,7
2024,2,Villarreal,8
2024,2,Real Sociedad,9
2024,2,Valladolid,10
2024,2,Getafe,11
2024,2,Real Betis,12
2024,2,Alaves,13
2024,2,Athletic Club,14
2024,2,Girona,15
2024,2,Las Palmas,16
2024,2,Mallorca,17
2024,2,Sevilla,18
2024,2,Espanyol,19
2024,2,Valencia,20
2024,3,Barcelona,1
2024,3,Villarreal,2
2024,3,Celta Vigo,3
2024,3,Atletico Madrid,4
2024,3,Leganes,5
2024,3,Real Betis,6
2024,3,Real Madrid,7
2024,3,Alaves,8
2024,3,Athletic Club,9
2024,3,Girona,10
2024,3,Osasuna,11
2024,3,Rayo Vallecano,12
2024,3,Valladolid,13
2024,3,Real Sociedad,14
2024,3,Getafe,15
2024,3,Las Palmas,16
2024,3,Mallorca,17
2024,3,Sevilla,18
2024,3,Espanyol,19
2024,3,Valencia,20
2024,4,Barcelona,1
2024,4,Atletico Madrid,2
2024,4,Real Madrid,3
2024,4,Villarreal,4
2024,4,Alaves,5
2024,4,Girona,6
2024,4,Osasuna,7
2024,4,Celta Vigo,8
2024,4,Leganes,9
2024,4,Mallorca,10
2024,4,Real Betis,11
2024,4,Athletic Club,12
2024,4,Espanyol,13
2024,4,Rayo Vallecano,14
2024,4,Real Sociedad,15
2024,4,Valladolid,16
2024,4,Getafe,17
2024,4,Las Palmas,18
2024,4,Sevilla,19
2024,4,Valencia,20
2024,5,Barcelona,1
2024,5,Atletico Madrid,2
2024,5,Real Madrid,3
2024,5,Villarreal,4
2024,5,Celta Vigo,5
2024,5,Real Betis,6
2024,5,Alaves,7
