Season,Matchday,Team,Rank
2019,18,Mallorca,17
2019,18,Celta Vigo,18
2019,18,Leganes,19
2019,18,Espanyol,20
2019,19,Barcelona,1
2019,19,Real Madrid,2
2019,19,Atletico Madrid,3
2019,19,Sevilla,4
2019,19,Real Sociedad,5
2019,19,Valencia,6
2019,19,Getafe,7
2019,19,Athletic Club,8
2019,19,Villarreal,9
2019,19,Granada CF,10
2019,19,Levante,11
2019,19,Osasuna,12
2019,19,Real Betis,13
2019,19,Valladolid,14
2019,19,Alaves,15
2019,19,Eibar,16
2019,19,Celta Vigo,17
2019,19,Mallorca,18
2019,19,Leganes,19
2019,19,Espanyol,20
2019,20,Barcelona,1
2019,20,Real Madrid,2
2019,20,Atletico Madrid,3
2019,20,Sevilla,4
2019,20,Getafe,5
2019,20,Real Sociedad,6
2019,20,Valencia,7
2019,20,Athletic Club,8
2019,20,Villarreal,9
2019,20,Granada CF,10
2019,20,Real Betis,11
2019,20,Levante,12
2019,20,Osasuna,13
2019,20,Alaves,14
2019,20,Eibar,15
2019,20,Valladolid,16
2019,20,Mallorca,17
2019,20,Celta Vigo,18
2019,20,Espanyol,19
2019,20,Leganes,20
2019,21,Real Madrid,1
2019,21,Barcelona,2
2019,21,Sevilla,3
2019,21,Atletico Madrid,4
2019,21,Getafe,5
2019,21,Real Sociedad,6
2019,21,Valencia,7
2019,21,Athletic Club,8
2019,21,Villarreal,9
2019,21,Osasuna,10
2019,21,Granada CF,11
2019,21,Real Betis,12
2019,21,Levante,13
2019,21,Alaves,14
2019,21,Eibar,15
2019,21,Valladolid,16
2019,21,Mallorca,17
2019,21,Celta Vigo,18
2019,21,Espanyol,19
2019,21,Leganes,20
2019,22,Real Madrid,1
2019,22,Barcelona,2
2019,22,Getafe,3
2019,22,Sevilla,4
2019,22,Valencia,5
2019,22,Atletico Madrid,6
2019,22,Real Sociedad,7
2019,22,Villarreal,8
2019,22,Athletic Club,9
2019,22,Granada CF,10
2019,22,Osasuna,11
2019,22,Real Betis,12
2019,22,Levante,13
2019,22,Valladolid,14
2019,22,Alaves,15
2019,22,Eibar,16
2019,22,Leganes,17
2019,22,Mallorca,18
2019,22,Celta Vigo,19
2019,22,Espanyol,20
2019,23,Real Madrid,1
2019,23,Barcelona,2
2019,23,Getafe,3
2019,23,Atletico Madrid,4
2019,23,Sevilla,5
2019,23,Real Sociedad,6
2019,23,Valencia,7
2019,23,Villarreal,8
2019,23,Athletic Club,9
2019,23,Granada CF,10
2019,23,Levante,11
2019,23,Osasuna,12
2019,23,Real Betis,13
2019,23,Alaves,14
2019,23,Valladolid,15
2019,23,Eibar,16
2019,23,Celta Vigo,17
2019,23,Espanyol,18
2019,23,Leganes,19
2019,23,Mallorca,20
2019,24,Real Madrid,1
2019,24,Barcelona,2
2019,24,Getafe,3
2019,24,Atletico Madrid,4
2019,24,Real Sociedad,5
2019,24,Sevilla,6
2019,24,Valencia,7
2019,24,Villarreal,8
2019,24,Granada CF,9
2019,24,Athletic Club,10
2019,24,Osasuna,11
2019,24,Levante,12
2019,24,Real Betis,13
2019,24,Alaves,14
2019,24,Valladolid,15
2019,24,Eibar,16
2019,24,Celta Vigo,17
2019,24,Mallorca,18
2019,24,Espanyol,19
2019,24,Leganes,20
2019,25,Barcelona,1
2019,25,Real Madrid,2
2019,25,Atletico Madrid,3
2019,25,Real Sociedad,4
2019,25,Sevilla,5
2019,25,Getafe,6
2019,25,Valencia,7
2019,25,Villarreal,8
2019,25,Granada CF,9
2019,25,Levante,10
2019,25,Athletic Club,11
2019,25,Osasuna,12
2019,25,Alaves,13
2019,25,Real Betis,14
2019,25,Valladolid,15
2019,25,Celta Vigo,16
2019,25,Eibar,17
2019,25,Mallorca,18
2019,25,Espanyol,19
2019,25,Leganes,20
2019,26,Real Madrid,1
2019,26,Barcelona,2
2019,26,Real Sociedad,3
2019,26,Sevilla,4
2019,26,Getafe,5
2019,26,Atletico Madrid,6
2019,26,Valencia,7
2019,26,Villarreal,8
2019,26,Granada CF,9
2019,26,Athletic Club,10
2019,26,Levante,11
2019,26,Alaves,12
2019,26,Osasuna,13
2019,26,Real Betis,14
2019,26,Valladolid,15
2019,26,Eibar,16
2019,26,Celta Vigo,17
2019,26,Mallorca,18
2019,26,Espanyol,19
2019,26,Leganes,20
2019,27,Barcelona,1
2019,27,Real Madrid,2
2019,27,Sevilla,3
2019,27,Getafe,4
2019,27,Real Sociedad,5
2019,27,Atletico Madrid,6
2019,27,Valencia,7
2019,27,Granada CF,8
2019,27,Villarreal,9
2019,27,Athletic Club,10
2019,27,Osasuna,11
2019,27,Levante,12
2019,27,Real Betis,13
2019,27,Alaves,14
2019,27,Valladolid,15
2019,27,Eibar,16
2019,27,Celta Vigo,17
2019,27,Mallorca,18
2019,27,Leganes,19
2019,27,Espanyol,20
2019,28,Barcelona,1
2019,28,Real Madrid,2
2019,28,Sevilla,3
2019,28,Real Sociedad,4
2019,28,Atletico Madrid,5
2019,28,Getafe,6
2019,28,Valencia,7
2019,28,Granada CF,8
2019,28,Villarreal,9
2019,28,Athletic Club,10
2019,28,Osasuna,11
2019,28,Levante,12
2019,28,Real Betis,13
2019,28,Alaves,14
2019,28,Valladolid,15
2019,28,Eibar,16
2019,28,Celta Vigo,17
2019,28,Mallorca,18
2019,28,Espanyol,19
2019,28,Leganes,20
2019,29,Barcelona,1
2019,29,Real Madrid,2
2019,29,Sevilla,3
2019,29,Atletico Madrid,4
2019,29,Getafe,5
2019,29,Real Sociedad,6
2019,29,Villarreal,7
2019,29,Valencia,8
2019,29,Granada CF,9
2019,29,Athletic Club,10
2019,29,Alaves,11
2019,29,Levante,12
2019,29,Osasuna,13
2019,29,Real Betis,14
2019,29,Valladolid,15
2019,29,Eibar,16
2019,29,Celta Vigo,17
2019,29,Mallorca,18
2019,29,Espanyol,19
2019,29,Leganes,20
2019,30,Barcelona,1
2019,30,Real Madrid,2
2019,30,Atletico Madrid,3
2019,30,Sevilla,4
2019,30,Getafe,5
2019,30,Real Sociedad,6
2019,30,Villarreal,7
2019,30,Valencia,8
2019,30,Athletic Club,9
2019,30,Granada CF,10
2019,30,Levante,11
2019,30,Alaves,12
2019,30,Osasuna,13
2019,30,Real Betis,14
2019,30,Valladolid,15
2019,30,Celta Vigo,16
2019,30,Eibar,17
2019,30,Mallorca,18
2019,30,Espanyol,19
2019,30,Leganes,20
2019,31,Barcelona,1
2019,31,Real Madrid,2
2019,31,Atletico Madrid,3
2019,31,Sevilla,4
2019,31,Getafe,5
2019,31,Villarreal,6
2019,31,Real Sociedad,7
2019,31,Valencia,8
2019,31,Granada CF,9
2019,31,Athletic Club,10
2019,31,Levante,11
2019,31,Osasuna,12
2019,31,Real Betis,13
2019,31,Alaves,14
2019,31,Valladolid,15
2019,31,Celta Vigo,16
2019,31,Eibar,17
2019,31,Mallorca,18
2019,31,Leganes,19
2019,31,Espanyol,20
2019,32,Real Madrid,1
2019,32,Barcelona,2
2019,32,Atletico Madrid,3
2019,32,Sevilla,4
2019,32,Getafe,5
2019,32,Villarreal,6
2019,32,Real Sociedad,7
2019,32,Valencia,8
2019,32,Athletic Club,9
2019,32,Granada CF,10
2019,32,Levante,11
2019,32,Osasuna,12
2019,32,Real Betis,13
2019,32,Alaves,14
2019,32,Eibar,15
2019,32,Valladolid,16
2019,32,Celta Vigo,17
2019,32,Mallorca,18
2019,32,Leganes,19
2019,32,Espanyol,20
2019,33,Real Madrid,1
2019,33,Barcelona,2
2019,33,Atletico Madrid,3
2019,33,Sevilla,4
2019,33,Villarreal,5
2019,33,Getafe,6
2019,33,Real Sociedad,7
2019,33,Athletic Club,8
2019,33,Granada CF,9
2019,33,Valencia,10
2019,33,Osasuna,11
2019,33,Levante,12
2019,33,Real Betis,13
2019,33,Valladolid,14
2019,33,Alaves,15
2019,33,Eibar,16
2019,33,Celta Vigo,17
2019,33,Mallorca,18
2019,33,Leganes,19
2019,33,Espanyol,20
2019,34,Real Madrid,1
2019,34,Barcelona,2
2019,34,Atletico Madrid,3
2019,34,Sevilla,4
2019,34,Villarreal,5
2019,34,Getafe,6
2019,34,Real Sociedad,7
2019,34,Athletic Club,8
2019,34,Granada CF,9
2019,34,Valencia,10
2019,34,Osasuna,11
2019,34,Levante,12
2019,34,Valladolid,13
2019,34,Real Betis,14
2019,34,Alaves,15
2019,34,Celta Vigo,16
2019,34,Eibar,17
2019,34,Mallorca,18
2019,34,Leganes,19
2019,34,Espanyol,20
2019,35,Real Madrid,1
2019,35,Barcelona,2
2019,35,Atletico Madrid,3
2019,35,Sevilla,4
2019,35,Villarreal,5
2019,35,Getafe,6
2019,35,Real Sociedad,7
2019,35,Granada CF,8
2019,35,Valencia,9
2019,35,Athletic Club,10
2019,35,Osasuna,11
2019,35,Levante,12
2019,35,Real Betis,13
2019,35,Valladolid,14
2019,35,Celta Vigo,15
2019,35,Eibar,16
2019,35,Alaves,17
2019,35,Mallorca,18
2019,35,Leganes,19
2019,35,Espanyol,20
2019,36,Real Madrid,1
2019,36,Barcelona,2
2019,36,Atletico Madrid,3
2019,36,Sevilla,4
2019,36,Villarreal,5
2019,36,Getafe,6
2019,36,Real Sociedad,7
2019,36,Athletic Club,8
2019,36,Granada CF,9
2019,36,Valencia,10
2019,36,Osasuna,11
2019,36,Levante,12
2019,36,Real Betis,13
2019,36,Eibar,14
2019,36,Valladolid,15
2019,36,Alaves,16
2019,36,Celta Vigo,17
2019,36,Leganes,18
2019,36,Mallorca,19
2019,36,Espanyol,20
2019,37,Real Madrid,1
2019,37,Barcelona,2
2019,37,Atletico Madrid,3
2019,37,Sevilla,4
2019,37,Villarreal,5
2019,37,Real Sociedad,6
2019,37,Getafe,7
2019,37,Granada CF,8
2019,37,Valencia,9
2019,37,Athletic Club,10
2019,37,Osasuna,11
2019,37,Levante,12
2019,37,Eibar,13
2019,37,Real Betis,14
2019,37,Alaves,15
2019,37,Valladolid,16
2019,37,Celta Vigo,17
2019,37,Leganes,18
2019,37,Mallorca,19
2019,37,Espanyol,20
2019,38,Real Madrid,1
2019,38,Barcelona,2
2019,38,Atletico Madrid,3
2019,38,Sevilla,4
2019,38,Villarreal,5
2019,38,Granada CF,6
2019,38,Real Sociedad,7
2019,38,Getafe,8
2019,38,Valencia,9
2019,38,Osasuna,10
2019,38,Athletic Club,11
2019,38,Levante,12
2019,38,Eibar,13
2019,38,Valladolid,14
2019,38,Real Betis,15
2019,38,Alaves,16
2019,38,Celta Vigo,17
2019,38,Leganes,18
2019,38,Mallorca,19
2019,38,Espanyol,20
