Season,Matchday,Team,Rank
2017,33,Girona,8
2017,33,Getafe,9
2017,33,Celta Vigo,10
2017,33,Eibar,11
2017,33,Real Sociedad,12
2017,33,Athletic Club,13
2017,33,Leganes,14
2017,33,Alaves,15
2017,33,Espanyol,16
2017,33,Levante,17
2017,33,Deportivo La Coruna,18
2017,33,Las Palmas,19
2017,33,Malaga,20
2017,34,Barcelona,1
2017,34,Atletico Madrid,2
2017,34,Real Madrid,3
2017,34,Valencia,4
2017,34,Real Betis,5
2017,34,Sevilla,6
2017,34,Villarreal,7
2017,34,Getafe,8
2017,34,Girona,9
2017,34,Celta Vigo,10
2017,34,Eibar,11
2017,34,Real Sociedad,12
2017,34,Alaves,13
2017,34,Athletic Club,14
2017,34,Leganes,15
2017,34,Espanyol,16
2017,34,Levante,17
2017,34,Deportivo La Coruna,18
2017,34,Las Palmas,19
2017,34,Malaga,20
2017,35,Barcelona,1
2017,35,Atletico Madrid,2
2017,35,Real Madrid,3
2017,35,Valencia,4
2017,35,Real Betis,5
2017,35,Villarreal,6
2017,35,Sevilla,7
2017,35,Getafe,8
2017,35,Girona,9
2017,35,Real Sociedad,10
2017,35,Celta Vigo,11
2017,35,Eibar,12
2017,35,Alaves,13
2017,35,Athletic Club,14
2017,35,Espanyol,15
2017,35,Leganes,16
2017,35,Levante,17
2017,35,Deportivo La Coruna,18
2017,35,Las Palmas,19
2017,35,Malaga,20
2017,36,Barcelona,1
2017,36,Atletico Madrid,2
2017,36,Real Madrid,3
2017,36,Valencia,4
2017,36,Real Betis,5
2017,36,Villarreal,6
2017,36,Sevilla,7
2017,36,Getafe,8
2017,36,Girona,9
2017,36,Eibar,10
2017,36,Celta Vigo,11
2017,36,Real Sociedad,12
2017,36,Alaves,13
2017,36,Athletic Club,14
2017,36,Espanyol,15
2017,36,Levante,16
2017,36,Leganes,17
2017,36,Deportivo La Coruna,18
2017,36,Las Palmas,19
2017,36,Malaga,20
2017,37,Barcelona,1
2017,37,Atletico Madrid,2
2017,37,Real Madrid,3
2017,37,Valencia,4
2017,37,Real Betis,5
2017,37,Villarreal,6
2017,37,Sevilla,7
2017,37,Getafe,8
2017,37,Eibar,9
2017,37,Real Sociedad,10
2017,37,Girona,11
2017,37,Alaves,12
2017,37,Celta Vigo,13
2017,37,Espanyol,14
2017,37,Levante,15
2017,37,Athletic Club,16
2017,37,Leganes,17
2017,37,Deportivo La Coruna,18
2017,37,Las Palmas,19
2017,37,Malaga,20
2017,38,Barcelona,1
2017,38,Atletico Madrid,2
2017,38,Real Madrid,3
2017,38,Valencia,4
2017,38,Villarreal,5
2017,38,Real Betis,6
2017,38,Sevilla,7
2017,38,Getafe,8
2017,38,Eibar,9
2017,38,Girona,10
2017,38,Celta Vigo,11
2017,38,Espanyol,12
2017,38,Real Sociedad,13
2017,38,Alaves,14
2017,38,Levante,15
2017,38,Athletic Club,16
2017,38,Leganes,17
2017,38,Deportivo La Coruna,18
2017,38,Las Palmas,19
2017,38,Malaga,20
