Season,Matchday,Team,Rank
2020,1,Atletico Madrid,1
2020,1,Barcelona,2
2020,1,Granada CF,3
2020,1,Osasuna,4
2020,1,Real Betis,5
2020,1,Real Madrid,6
2020,1,Valencia,7
2020,1,Celta Vigo,8
2020,1,Eibar,9
2020,1,Huesca,10
2020,1,Real Sociedad,11
2020,1,Valladolid,12
2020,1,Villarreal,13
2020,1,Alaves,14
2020,1,Athletic Club,15
2020,1,Cadiz,16
2020,1,Elche,17
2020,1,Getafe,18
2020,1,Levante,19
2020,1,Sevilla,20
2020,2,Barcelona,1
2020,2,Granada CF,2
2020,2,Real Betis,3
2020,2,Atletico Madrid,4
2020,2,Celta Vigo,5
2020,2,Real Madrid,6
2020,2,Villarreal,7
2020,2,Cadiz,8
2020,2,Getafe,9
2020,2,Osasuna,10
2020,2,Sevilla,11
2020,2,Valencia,12
2020,2,Real Sociedad,13
2020,2,Eibar,14
2020,2,Huesca,15
2020,2,Levante,16
2020,2,Valladolid,17
2020,2,Alaves,18
2020,2,Athletic Club,19
2020,2,Elche,20
2020,3,Barcelona,1
2020,3,Atletico Madrid,2
2020,3,Real Madrid,3
2020,3,Granada CF,4
2020,3,Real Betis,5
2020,3,Sevilla,6
2020,3,Celta Vigo,7
2020,3,Real Sociedad,8
2020,3,Getafe,9
2020,3,Levante,10
2020,3,Valencia,11
2020,3,Villarreal,12
2020,3,Athletic Club,13
2020,3,Cadiz,14
2020,3,Osasuna,15
2020,3,Huesca,16
2020,3,Valladolid,17
2020,3,Alaves,18
2020,3,Eibar,19
2020,3,Elche,20
2020,4,Barcelona,1
2020,4,Real Madrid,2
2020,4,Granada CF,3
2020,4,Sevilla,4
2020,4,Atletico Madrid,5
2020,4,Getafe,6
2020,4,Valencia,7
2020,4,Villarreal,8
2020,4,Cadiz,9
2020,4,Real Betis,10
2020,4,Celta Vigo,11
2020,4,Real Sociedad,12
2020,4,Levante,13
2020,4,Athletic Club,14
2020,4,Elche,15
2020,4,Huesca,16
2020,4,Osasuna,17
2020,4,Valladolid,18
2020,4,Alaves,19
2020,4,Eibar,20
2020,5,Barcelona,1
2020,5,Real Madrid,2
2020,5,Granada CF,3
2020,5,Sevilla,4
2020,5,Atletico Madrid,5
2020,5,Real Betis,6
2020,5,Real Sociedad,7
2020,5,Villarreal,8
2020,5,Cadiz,9
2020,5,Getafe,10
2020,5,Valencia,11
2020,5,Osasuna,12
2020,5,Celta Vigo,13
2020,5,Alaves,14
2020,5,Eibar,15
2020,5,Elche,16
2020,5,Huesca,17
2020,5,Levante,18
2020,5,Athletic Club,19
2020,5,Valladolid,20
2020,6,Barcelona,1
2020,6,Granada CF,2
2020,6,Real Madrid,3
2020,6,Atletico Madrid,4
2020,6,Real Sociedad,5
2020,6,Villarreal,6
2020,6,Cadiz,7
2020,6,Getafe,8
2020,6,Sevilla,9
2020,6,Real Betis,10
2020,6,Elche,11
2020,6,Osasuna,12
2020,6,Valencia,13
2020,6,Athletic Club,14
2020,6,Celta Vigo,15
2020,6,Eibar,16
2020,6,Huesca,17
2020,6,Alaves,18
2020,6,Levante,19
2020,6,Valladolid,20
2020,7,Granada CF,1
2020,7,Real Madrid,2
2020,7,Atletico Madrid,3
2020,7,Real Sociedad,4
2020,7,Barcelona,5
2020,7,Villarreal,6
2020,7,Cadiz,7
2020,7,Elche,8
2020,7,Getafe,9
2020,7,Osasuna,10
2020,7,Sevilla,11
2020,7,Real Betis,12
2020,7,Eibar,13
2020,7,Alaves,14
2020,7,Valencia,15
2020,7,Athletic Club,16
2020,7,Celta Vigo,17
2020,7,Huesca,18
2020,7,Levante,19
2020,7,Valladolid,20
2020,8,Real Madrid,1
2020,8,Atletico Madrid,2
2020,8,Granada CF,3
2020,8,Real Sociedad,4
2020,8,Villarreal,5
2020,8,Barcelona,6
2020,8,Cadiz,7
2020,8,Real Betis,8
2020,8,Getafe,9
2020,8,Elche,10
2020,8,Osasuna,11
2020,8,Sevilla,12
2020,8,Athletic Club,13
2020,8,Alaves,14
2020,8,Eibar,15
2020,8,Valencia,16
2020,8,Celta Vigo,17
2020,8,Levante,18
2020,8,Huesca,19
2020,8,Valladolid,20
2020,9,Atletico Madrid,1
2020,9,Real Sociedad,2
2020,9,Real Madrid,3
2020,9,Villarreal,4
2020,9,Barcelona,5
2020,9,Granada CF,6
2020,9,Cadiz,7
2020,9,Sevilla,8
2020,9,Real Betis,9
2020,9,Elche,10
2020,9,Getafe,11
2020,9,Valencia,12
2020,9,Osasuna,13
2020,9,Alaves,14
2020,9,Athletic Club,15
2020,9,Eibar,16
2020,9,Celta Vigo,17
2020,9,Levante,18
2020,9,Huesca,19
2020,9,Valladolid,20
2020,10,Atletico Madrid,1
2020,10,Real Sociedad,2
2020,10,Real Madrid,3
2020,10,Villarreal,4
2020,10,Barcelona,5
2020,10,Granada CF,6
2020,10,Sevilla,7
2020,10,Cadiz,8
2020,10,Athletic Club,9
2020,10,Elche,10
2020,10,Getafe,11
2020,10,Real Betis,12
2020,10,Valencia,13
2020,10,Osasuna,14
2020,10,Alaves,15
2020,10,Eibar,16
2020,10,Valladolid,17
2020,10,Levante,18
2020,10,Celta Vigo,19
2020,10,Huesca,20
2020,11,Atletico Madrid,1
2020,11,Real Sociedad,2
2020,11,Barcelona,3
2020,11,Real Madrid,4
2020,11,Villarreal,5
2020,11,Sevilla,6
2020,11,Granada CF,7
2020,11,Cadiz,8
2020,11,Alaves,9
2020,11,Athletic Club,10
2020,11,Eibar,11
2020,11,Elche,12
2020,11,Getafe,13
2020,11,Real Betis,14
2020,11,Valencia,15
2020,11,Osasuna,16
2020,11,Celta Vigo,17
2020,11,Valladolid,18
2020,11,Levante,19
2020,11,Huesca,20
2020,12,Atletico Madrid,1
2020,12,Real Sociedad,2
2020,12,Real Madrid,3
2020,12,Villarreal,4
2020,12,Barcelona,5
2020,12,Sevilla,6
2020,12,Cadiz,7
2020,12,Granada CF,8
2020,12,Real Betis,9
2020,12,Alaves,10
2020,12,Eibar,11
2020,12,Elche,12
2020,12,Athletic Club,13
2020,12,Celta Vigo,14
2020,12,Getafe,15
2020,12,Valencia,16
2020,12,Levante,17
2020,12,Osasuna,18
2020,12,Valladolid,19
2020,12,Huesca,20
2020,13,Atletico Madrid,1
2020,13,Real Madrid,2
2020,13,Real Sociedad,3
2020,13,Barcelona,4
2020,13,Sevilla,5
2020,13,Villarreal,6
2020,13,Granada CF,7
2020,13,Cadiz,8
2020,13,Celta Vigo,9
2020,13,Real Betis,10
2020,13,Eibar,11
2020,13,Alaves,12
2020,13,Athletic Club,13
2020,13,Elche,14
2020,13,Valencia,15
2020,13,Getafe,16
2020,13,Valladolid,17
2020,13,Levante,18
2020,13,Huesca,19
2020,13,Osasuna,20
2020,14,Atletico Madrid,1
2020,14,Real Madrid,2
2020,14,Real Sociedad,3
2020,14,Villarreal,4
2020,14,Barcelona,5
2020,14,Granada CF,6
2020,14,Sevilla,7
2020,14,Celta Vigo,8
2020,14,Cadiz,9
2020,14,Athletic Club,10
2020,14,Getafe,11
2020,14,Real Betis,12
2020,14,Eibar,13
2020,14,Levante,14
2020,14,Valencia,15
2020,14,Alaves,16
2020,14,Elche,17
2020,14,Valladolid,18
2020,14,Huesca,19
2020,14,Osasuna,20
2020,15,Atletico Madrid,1
2020,15,Real Madrid,2
2020,15,Barcelona,3
2020,15,Real Sociedad,4
2020,15,Sevilla,5
2020,15,Villarreal,6
2020,15,Granada CF,7
2020,15,Celta Vigo,8
2020,15,Real Betis,9
2020,15,Athletic Club,10
2020,15,Cadiz,11
2020,15,Alaves,12
2020,15,Getafe,13
2020,15,Levante,14
2020,15,Eibar,15
2020,15,Elche,16
2020,15,Valencia,17
2020,15,Valladolid,18
2020,15,Huesca,19
2020,15,Osasuna,20
2020,16,Atletico Madrid,1
2020,16,Real Madrid,2
2020,16,Real Sociedad,3
2020,16,Sevilla,4
2020,16,Barcelona,5
2020,16,Granada CF,6
2020,16,Villarreal,7
2020,16,Celta Vigo,8
2020,16,Cadiz,9
2020,16,Levante,10
2020,16,Real Betis,11
2020,16,Alaves,12
2020,16,Athletic Club,13
2020,16,Getafe,14
2020,16,Eibar,15
2020,16,Elche,16
2020,16,Valencia,17
2020,16,Valladolid,18
2020,16,Osasuna,19
2020,16,Huesca,20
2020,17,Atletico Madrid,1
2020,17,Real Madrid,2
2020,17,Barcelona,3
2020,17,Real Sociedad,4
2020,17,Sevilla,5
2020,17,Villarreal,6
2020,17,Granada CF,7
2020,17,Celta Vigo,8
2020,17,Athletic Club,9
2020,17,Cadiz,10
2020,17,Real Betis,11
2020,17,Eibar,12
2020,17,Levante,13
2020,17,Alaves,14
2020,17,Valladolid,15
2020,17,Getafe,16
2020,17,Elche,17
2020,17,Valencia,18
2020,17,Osasuna,19
2020,17,Huesca,20
2020,18,Atletico Madrid,1
2020,18,Real Madrid,2
2020,18,Barcelona,3
2020,18,Sevilla,4
2020,18,Villarreal,5
2020,18,Real Sociedad,6
2020,18,Granada CF,7
2020,18,Cadiz,8
2020,18,Celta Vigo,9
2020,18,Real Betis,10
2020,18,Levante,11
2020,18,Athletic Club,12
2020,18,Getafe,13
2020,18,Eibar,14
2020,18,Valencia,15
2020,18,Alaves,16
2020,18,Valladolid,17
2020,18,Elche,18
2020,18,Osasuna,19
2020,18,Huesca,20
2020,19,Atletico Madrid,1
2020,19,Real Madrid,2
2020,19,Barcelona,3
2020,19,Sevilla,4
2020,19,Villarreal,5
2020,19,Real Sociedad,6
2020,19,Granada CF,7
2020,19,Real Betis,8
2020,19,Cadiz,9
2020,19,Celta Vigo,10
2020,19,Getafe,11
2020,19,Levante,12
2020,19,Athletic Club,13
2020,19,Valencia,14
2020,19,Eibar,15
2020,19,Valladolid,16
2020,19,Alaves,17
2020,19,Elche,18
2020,19,Osasuna,19
2020,19,Huesca,20
2020,20,Atletico Madrid,1
