Season,Matchday,Team,Rank
2020,20,Real Madrid,2
2020,20,Barcelona,3
2020,20,Sevilla,4
2020,20,Villarreal,5
2020,20,Real Sociedad,6
2020,20,Granada CF,7
2020,20,Real Betis,8
2020,20,Athletic Club,9
2020,20,Cadiz,10
2020,20,Celta Vigo,11
2020,20,Levante,12
2020,20,Getafe,13
2020,20,Eibar,14
2020,20,Valencia,15
2020,20,Valladolid,16
2020,20,Osasuna,17
2020,20,Alaves,18
2020,20,Elche,19
2020,20,Huesca,20
2020,21,Atletico Madrid,1
2020,21,Barcelona,2
2020,21,Real Madrid,3
2020,21,Sevilla,4
2020,21,Villarreal,5
2020,21,Real Sociedad,6
2020,21,Real Betis,7
2020,21,Granada CF,8
2020,21,Levante,9
2020,21,Celta Vigo,10
2020,21,Athletic Club,11
2020,21,Cadiz,12
2020,21,Getafe,13
2020,21,Valencia,14
2020,21,Eibar,15
2020,21,Valladolid,16
2020,21,Alaves,17
2020,21,Osasuna,18
2020,21,Elche,19
2020,21,Huesca,20
2020,22,Atletico Madrid,1
2020,22,Barcelona,2
2020,22,Real Madrid,3
2020,22,Sevilla,4
2020,22,Villarreal,5
2020,22,Real Sociedad,6
2020,22,Granada CF,7
2020,22,Real Betis,8
2020,22,Levante,9
2020,22,Celta Vigo,10
2020,22,Athletic Club,11
2020,22,Cadiz,12
2020,22,Getafe,13
2020,22,Valencia,14
2020,22,Alaves,15
2020,22,Osasuna,16
2020,22,Eibar,17
2020,22,Valladolid,18
2020,22,Elche,19
2020,22,Huesca,20
2020,23,Atletico Madrid,1
2020,23,Barcelona,2
2020,23,Real Madrid,3
2020,23,Sevilla,4
2020,23,Real Sociedad,5
2020,23,Villarreal,6
2020,23,Real Betis,7
2020,23,Granada CF,8
2020,23,Celta Vigo,9
2020,23,Athletic Club,10
2020,23,Levante,11
2020,23,Osasuna,12
2020,23,Cadiz,13
2020,23,Getafe,14
2020,23,Valencia,15
2020,23,Alaves,16
2020,23,Eibar,17
2020,23,Valladolid,18
2020,23,Elche,19
2020,23,Huesca,20
2020,24,Atletico Madrid,1
2020,24,Real Madrid,2
2020,24,Sevilla,3
2020,24,Barcelona,4
2020,24,Real Sociedad,5
2020,24,Villarreal,6
2020,24,Real Betis,7
2020,24,Levante,8
2020,24,Granada CF,9
2020,24,Athletic Club,10
2020,24,Celta Vigo,11
2020,24,Valencia,12
2020,24,Cadiz,13
2020,24,Osasuna,14
2020,24,Getafe,15
2020,24,Alaves,16
2020,24,Eibar,17
2020,24,Elche,18
2020,24,Valladolid,19
2020,24,Huesca,20
2020,25,Atletico Madrid,1
2020,25,Barcelona,2
2020,25,Real Madrid,3
2020,25,Sevilla,4
2020,25,Real Sociedad,5
2020,25,Real Betis,6
2020,25,Villarreal,7
2020,25,Granada CF,8
2020,25,Levante,9
2020,25,Athletic Club,10
2020,25,Celta Vigo,11
2020,25,Osasuna,12
2020,25,Getafe,13
2020,25,Valencia,14
2020,25,Cadiz,15
2020,25,Alaves,16
2020,25,Eibar,17
2020,25,Valladolid,18
2020,25,Elche,19
2020,25,Huesca,20
2020,26,Atletico Madrid,1
2020,26,Barcelona,2
2020,26,Real Madrid,3
2020,26,Sevilla,4
2020,26,Real Sociedad,5
2020,26,Real Betis,6
2020,26,Villarreal,7
2020,26,Athletic Club,8
2020,26,Celta Vigo,9
2020,26,Granada CF,10
2020,26,Levante,11
2020,26,Valencia,12
2020,26,Cadiz,13
2020,26,Osasuna,14
2020,26,Getafe,15
2020,26,Valladolid,16
2020,26,Elche,17
2020,26,Alaves,18
2020,26,Eibar,19
2020,26,Huesca,20
2020,27,Atletico Madrid,1
2020,27,Barcelona,2
2020,27,Real Madrid,3
2020,27,Sevilla,4
2020,27,Real Sociedad,5
2020,27,Real Betis,6
2020,27,Villarreal,7
2020,27,Granada CF,8
2020,27,Levante,9
2020,27,Athletic Club,10
2020,27,Celta Vigo,11
2020,27,Valencia,12
2020,27,Cadiz,13
2020,27,Osasuna,14
2020,27,Getafe,15
2020,27,Valladolid,16
2020,27,Elche,17
2020,27,Alaves,18
2020,27,Eibar,19
2020,27,Huesca,20
2020,28,Atletico Madrid,1
2020,28,Barcelona,2
2020,28,Real Madrid,3
2020,28,Sevilla,4
2020,28,Real Betis,5
2020,28,Real Sociedad,6
2020,28,Villarreal,7
2020,28,Granada CF,8
2020,28,Athletic Club,9
2020,28,Levante,10
2020,28,Celta Vigo,11
2020,28,Valencia,12
2020,28,Osasuna,13
2020,28,Cadiz,14
2020,28,Getafe,15
2020,28,Valladolid,16
2020,28,Elche,17
2020,28,Alaves,18
2020,28,Eibar,19
2020,28,Huesca,20
2020,29,Atletico Madrid,1
2020,29,Barcelona,2
2020,29,Real Madrid,3
2020,29,Sevilla,4
2020,29,Real Betis,5
2020,29,Real Sociedad,6
2020,29,Villarreal,7
2020,29,Celta Vigo,8
2020,29,Athletic Club,9
2020,29,Granada CF,10
2020,29,Levante,11
2020,29,Valencia,12
2020,29,Cadiz,13
2020,29,Osasuna,14
2020,29,Getafe,15
2020,29,Valladolid,16
2020,29,Elche,17
2020,29,Huesca,18
2020,29,Alaves,19
2020,29,Eibar,20
2020,30,Atletico Madrid,1
2020,30,Real Madrid,2
2020,30,Barcelona,3
2020,30,Sevilla,4
2020,30,Real Betis,5
2020,30,Real Sociedad,6
2020,30,Villarreal,7
2020,30,Granada CF,8
2020,30,Levante,9
2020,30,Athletic Club,10
2020,30,Celta Vigo,11
2020,30,Cadiz,12
2020,30,Osasuna,13
2020,30,Valencia,14
2020,30,Getafe,15
2020,30,Huesca,16
2020,30,Valladolid,17
2020,30,Elche,18
2020,30,Alaves,19
2020,30,Eibar,20
2020,31,Atletico Madrid,1
2020,31,Real Madrid,2
2020,31,Barcelona,3
2020,31,Sevilla,4
2020,31,Real Sociedad,5
2020,31,Real Betis,6
2020,31,Villarreal,7
2020,31,Granada CF,8
2020,31,Athletic Club,9
2020,31,Levante,10
2020,31,Celta Vigo,11
2020,31,Osasuna,12
2020,31,Cadiz,13
2020,31,Valencia,14
2020,31,Getafe,15
2020,31,Valladolid,16
2020,31,Alaves,17
2020,31,Elche,18
2020,31,Huesca,19
2020,31,Eibar,20
2020,32,Barcelona,1
2020,32,Atletico Madrid,2
2020,32,Real Madrid,3
2020,32,Sevilla,4
2020,32,Real Sociedad,5
2020,32,Real Betis,6
2020,32,Villarreal,7
2020,32,Granada CF,8
2020,32,Athletic Club,9
2020,32,Celta Vigo,10
2020,32,Levante,11
2020,32,Osasuna,12
2020,32,Cadiz,13
2020,32,Valencia,14
2020,32,Getafe,15
2020,32,Elche,16
2020,32,Valladolid,17
2020,32,Alaves,18
2020,32,Huesca,19
2020,32,Eibar,20
2020,33,Atletico Madrid,1
2020,33,Barcelona,2
2020,33,Real Madrid,3
2020,33,Sevilla,4
2020,33,Real Sociedad,5
2020,33,Real Betis,6
2020,33,Villarreal,7
2020,33,Granada CF,8
2020,33,Athletic Club,9
2020,33,Celta Vigo,10
2020,33,Osasuna,11
2020,33,Levante,12
2020,33,Cadiz,13
2020,33,Valencia,14
2020,33,Getafe,15
2020,33,Alaves,16
2020,33,Elche,17
2020,33,Valladolid,18
2020,33,Huesca,19
2020,33,Eibar,20
2020,34,Atletico Madrid,1
2020,34,Barcelona,2
2020,34,Real Madrid,3
2020,34,Sevilla,4
2020,34,Real Sociedad,5
2020,34,Villarreal,6
2020,34,Real Betis,7
2020,34,Athletic Club,8
2020,34,Granada CF,9
2020,34,Celta Vigo,10
2020,34,Cadiz,11
2020,34,Osasuna,12
2020,34,Levante,13
2020,34,Valencia,14
2020,34,Getafe,15
2020,34,Alaves,16
2020,34,Valladolid,17
2020,34,Elche,18
2020,34,Huesca,19
2020,34,Eibar,20
2020,35,Atletico Madrid,1
2020,35,Barcelona,2
2020,35,Real Madrid,3
2020,35,Sevilla,4
2020,35,Real Sociedad,5
2020,35,Real Betis,6
2020,35,Villarreal,7
2020,35,Celta Vigo,8
2020,35,Athletic Club,9
2020,35,Granada CF,10
2020,35,Cadiz,11
2020,35,Osasuna,12
2020,35,Levante,13
2020,35,Valencia,14
2020,35,Getafe,15
2020,35,Alaves,16
2020,35,Valladolid,17
2020,35,Elche,18
2020,35,Huesca,19
2020,35,Eibar,20
2020,36,Atletico Madrid,1
2020,36,Real Madrid,2
2020,36,Barcelona,3
2020,36,Sevilla,4
2020,36,Real Sociedad,5
2020,36,Real Betis,6
2020,36,Villarreal,7
2020,36,Celta Vigo,8
2020,36,Athletic Club,9
2020,36,Granada CF,10
2020,36,Osasuna,11
2020,36,Cadiz,12
2020,36,Levante,13
2020,36,Valencia,14
2020,36,Alaves,15
2020,36,Getafe,16
2020,36,Huesca,17
2020,36,Valladolid,18
2020,36,Eibar,19
2020,36,Elche,20
2020,37,Atletico Madrid,1
2020,37,Real Madrid,2
2020,37,Barcelona,3
2020,37,Sevilla,4
2020,37,Real Sociedad,5
2020,37,Real Betis,6
2020,37,Villarreal,7
2020,37,Celta Vigo,8
2020,37,Athletic Club,9
2020,37,Granada CF,10
2020,37,Osasuna,11
2020,37,Cadiz,12
2020,37,Valencia,13
2020,37,Levante,14
2020,37,Alaves,15
2020,37,Getafe,16
2020,37,Elche,17
2020,37,Huesca,18
2020,37,Valladolid,19
2020,37,Eibar,20
2020,38,Atletico Madrid,1
2020,38,Real Madrid,2
2020,38,Barcelona,3
2020,38,Sevilla,4
2020,38,Real Sociedad,5
2020,38,Real Betis,6
2020,38,Villarreal,7
2020,38,Celta Vigo,8
2020,38,Athletic Club,9
2020,38,Granada CF,10
2020,38,Cadiz,11
2020,38,Osasuna,12
2020,38,Valencia,13
2020,38,Levante,14
2020,38,Alaves,15
2020,38,Getafe,16
2020,38,Elche,17
2020,38,Huesca,18
2020,38,Valladolid,19
2020,38,Eibar,20
