Season,Matchday,Team,Rank
2022,1,Atletico Madrid,1
2022,1,Osasuna,2
2022,1,Real Betis,3
2022,1,Real Madrid,4
2022,1,Real Sociedad,5
2022,1,Valencia,6
2022,1,Villarreal,7
2022,1,Athletic Club,8
2022,1,Barcelona,9
2022,1,Celta Vigo,10
2022,1,Espanyol,11
2022,1,Mallorca,12
2022,1,Rayo Vallecano,13
2022,1,Almeria,14
2022,1,Cadiz,15
2022,1,Elche,16
2022,1,Getafe,17
2022,1,Girona,18
2022,1,Sevilla,19
2022,1,Valladolid,20
2022,2,Osasuna,1
2022,2,Real Betis,2
2022,2,Real Madrid,3
2022,2,Villarreal,4
2022,2,Athletic Club,5
2022,2,Barcelona,6
2022,2,Rayo Vallecano,7
2022,2,Atletico Madrid,8
2022,2,Girona,9
2022,2,Real Sociedad,10
2022,2,Valencia,11
2022,2,Almeria,12
2022,2,Celta Vigo,13
2022,2,Elche,14
2022,2,Espanyol,15
2022,2,Mallorca,16
2022,2,Sevilla,17
2022,2,Valladolid,18
2022,2,Cadiz,19
2022,2,Getafe,20
2022,3,Real Betis,1
2022,3,Real Madrid,2
2022,3,Athletic Club,3
2022,3,Barcelona,4
2022,3,Villarreal,5
2022,3,Atletico Madrid,6
2022,3,Osasuna,7
2022,3,Real Sociedad,8
2022,3,Almeria,9
2022,3,Celta Vigo,10
2022,3,Mallorca,11
2022,3,Rayo Vallecano,12
2022,3,Girona,13
2022,3,Valencia,14
2022,3,Elche,15
2022,3,Espanyol,16
2022,3,Getafe,17
2022,3,Sevilla,18
2022,3,Valladolid,19
2022,3,Cadiz,20
2022,4,Real Madrid,1
2022,4,Barcelona,2
2022,4,Villarreal,3
2022,4,Osasuna,4
2022,4,Real Betis,5
2022,4,Athletic Club,6
2022,4,Atletico Madrid,7
2022,4,Celta Vigo,8
2022,4,Real Sociedad,9
2022,4,Valencia,10
2022,4,Mallorca,11
2022,4,Almeria,12
2022,4,Espanyol,13
2022,4,Girona,14
2022,4,Rayo Vallecano,15
2022,4,Valladolid,16
2022,4,Elche,17
2022,4,Getafe,18
2022,4,Sevilla,19
2022,4,Cadiz,20
2022,5,Real Madrid,1
2022,5,Barcelona,2
2022,5,Osasuna,3
2022,5,Real Betis,4
2022,5,Athletic Club,5
2022,5,Atletico Madrid,6
2022,5,Villarreal,7
2022,5,Celta Vigo,8
2022,5,Girona,9
2022,5,Rayo Vallecano,10
2022,5,Real Sociedad,11
2022,5,Valencia,12
2022,5,Mallorca,13
2022,5,Almeria,14
2022,5,Espanyol,15
2022,5,Getafe,16
2022,5,Sevilla,17
2022,5,Valladolid,18
2022,5,Elche,19
2022,5,Cadiz,20
2022,6,Real Madrid,1
2022,6,Barcelona,2
2022,6,Real Betis,3
2022,6,Athletic Club,4
2022,6,Osasuna,5
2022,6,Villarreal,6
2022,6,Atletico Madrid,7
2022,6,Real Sociedad,8
2022,6,Valencia,9
2022,6,Mallorca,10
2022,6,Celta Vigo,11
2022,6,Getafe,12
2022,6,Girona,13
2022,6,Rayo Vallecano,14
2022,6,Sevilla,15
2022,6,Almeria,16
2022,6,Espanyol,17
2022,6,Valladolid,18
2022,6,Cadiz,19
2022,6,Elche,20
2022,7,Barcelona,1
2022,7,Real Madrid,2
2022,7,Athletic Club,3
2022,7,Real Betis,4
2022,7,Atletico Madrid,5
2022,7,Osasuna,6
2022,7,Real Sociedad,7
2022,7,Villarreal,8
2022,7,Celta Vigo,9
2022,7,Rayo Vallecano,10
2022,7,Valencia,11
2022,7,Mallorca,12
2022,7,Getafe,13
2022,7,Girona,14
2022,7,Valladolid,15
2022,7,Espanyol,16
2022,7,Sevilla,17
2022,7,Almeria,18
2022,7,Cadiz,19
2022,7,Elche,20
2022,8,Barcelona,1
