Season,Matchday,Team,Rank
2021,1,Atletico Madrid,1
2021,1,Barcelona,2
2021,1,Real Madrid,3
2021,1,Sevilla,4
2021,1,Valencia,5
2021,1,Athletic Club,6
2021,1,Cadiz,7
2021,1,Elche,8
2021,1,Espanyol,9
2021,1,Granada CF,10
2021,1,Levante,11
2021,1,Mallorca,12
2021,1,Osasuna,13
2021,1,Real Betis,14
2021,1,Villarreal,15
2021,1,Alaves,16
2021,1,Celta Vigo,17
2021,1,Getafe,18
2021,1,Rayo Vallecano,19
2021,1,Real Sociedad,20
2021,2,Atletico Madrid,1
2021,2,Sevilla,2
2021,2,Barcelona,3
2021,2,Mallorca,4
2021,2,Real Madrid,5
2021,2,Valencia,6
2021,2,Real Sociedad,7
2021,2,Athletic Club,8
2021,2,Cadiz,9
2021,2,Espanyol,10
2021,2,Granada CF,11
2021,2,Levante,12
2021,2,Osasuna,13
2021,2,Real Betis,14
2021,2,Villarreal,15
2021,2,Celta Vigo,16
2021,2,Elche,17
2021,2,Alaves,18
2021,2,Getafe,19
2021,2,Rayo Vallecano,20
2021,3,Atletico Madrid,1
2021,3,Barcelona,2
2021,3,Mallorca,3
2021,3,Real Madrid,4
2021,3,Sevilla,5
2021,3,Valencia,6
2021,3,Real Sociedad,7
2021,3,Athletic Club,8
2021,3,Osasuna,9
2021,3,Rayo Vallecano,10
2021,3,Villarreal,11
2021,3,Cadiz,12
2021,3,Elche,13
2021,3,Espanyol,14
2021,3,Granada CF,15
2021,3,Levante,16
2021,3,Real Betis,17
2021,3,Celta Vigo,18
2021,3,Alaves,19
2021,3,Getafe,20
2021,4,Atletico Madrid,1
2021,4,Real Madrid,2
2021,4,Valencia,3
2021,4,Real Sociedad,4
2021,4,Athletic Club,5
2021,4,Barcelona,6
2021,4,Sevilla,7
2021,4,Mallorca,8
2021,4,Villarreal,9
2021,4,Elche,10
2021,4,Osasuna,11
2021,4,Real Betis,12
2021,4,Rayo Vallecano,13
2021,4,Levante,14
2021,4,Cadiz,15
2021,4,Espanyol,16
2021,4,Granada CF,17
2021,4,Celta Vigo,18
2021,4,Alaves,19
2021,4,Getafe,20
2021,5,Real Madrid,1
2021,5,Atletico Madrid,2
2021,5,Real Sociedad,3
2021,5,Valencia,4
2021,5,Athletic Club,5
2021,5,Barcelona,6
2021,5,Sevilla,7
2021,5,Mallorca,8
2021,5,Osasuna,9
2021,5,Rayo Vallecano,10
2021,5,Villarreal,11
2021,5,Elche,12
2021,5,Real Betis,13
2021,5,Cadiz,14
2021,5,Levante,15
2021,5,Espanyol,16
2021,5,Granada CF,17
2021,5,Celta Vigo,18
2021,5,Alaves,19
2021,5,Getafe,20
2021,6,Real Madrid,1
2021,6,Atletico Madrid,2
2021,6,Real Sociedad,3
2021,6,Sevilla,4
2021,6,Barcelona,5
2021,6,Rayo Vallecano,6
2021,6,Valencia,7
2021,6,Villarreal,8
2021,6,Athletic Club,9
2021,6,Real Betis,10
2021,6,Mallorca,11
2021,6,Osasuna,12
2021,6,Cadiz,13
2021,6,Elche,14
2021,6,Espanyol,15
2021,6,Celta Vigo,16
2021,6,Levante,17
2021,6,Granada CF,18
2021,6,Alaves,19
2021,6,Getafe,20
2021,7,Real Madrid,1
2021,7,Real Sociedad,2
2021,7,Sevilla,3
2021,7,Atletico Madrid,4
2021,7,Barcelona,5
2021,7,Rayo Vallecano,6
2021,7,Real Betis,7
2021,7,Osasuna,8
2021,7,Valencia,9
2021,7,Villarreal,10
2021,7,Athletic Club,11
2021,7,Mallorca,12
2021,7,Celta Vigo,13
2021,7,Cadiz,14
2021,7,Elche,15
2021,7,Espanyol,16
2021,7,Levante,17
2021,7,Alaves,18
2021,7,Granada CF,19
2021,7,Getafe,20
2021,8,Atletico Madrid,1
2021,8,Real Madrid,2
2021,8,Real Sociedad,3
2021,8,Sevilla,4
2021,8,Osasuna,5
2021,8,Villarreal,6
2021,8,Athletic Club,7
2021,8,Barcelona,8
2021,8,Rayo Vallecano,9
2021,8,Real Betis,10
2021,8,Valencia,11
2021,8,Mallorca,12
2021,8,Elche,13
2021,8,Espanyol,14
2021,8,Cadiz,15
2021,8,Celta Vigo,16
2021,8,Granada CF,17
2021,8,Levante,18
2021,8,Alaves,19
2021,8,Getafe,20
2021,9,Real Madrid,1
2021,9,Real Sociedad,2
2021,9,Sevilla,3
2021,9,Atletico Madrid,4
2021,9,Osasuna,5
2021,9,Barcelona,6
2021,9,Rayo Vallecano,7
2021,9,Real Betis,8
2021,9,Villarreal,9
2021,9,Athletic Club,10
2021,9,Espanyol,11
2021,9,Valencia,12
2021,9,Mallorca,13
2021,9,Elche,14
2021,9,Granada CF,15
2021,9,Cadiz,16
2021,9,Celta Vigo,17
2021,9,Levante,18
2021,9,Alaves,19
2021,9,Getafe,20
2021,10,Real Madrid,1
2021,10,Real Sociedad,2
2021,10,Sevilla,3
2021,10,Atletico Madrid,4
2021,10,Osasuna,5
2021,10,Real Betis,6
2021,10,Athletic Club,7
2021,10,Barcelona,8
2021,10,Rayo Vallecano,9
2021,10,Villarreal,10
2021,10,Espanyol,11
2021,10,Valencia,12
2021,10,Mallorca,13
2021,10,Celta Vigo,14
2021,10,Elche,15
2021,10,Granada CF,16
2021,10,Cadiz,17
2021,10,Alaves,18
2021,10,Levante,19
2021,10,Getafe,20
2021,11,Real Madrid,1
2021,11,Real Sociedad,2
2021,11,Sevilla,3
2021,11,Real Betis,4
2021,11,Atletico Madrid,5
2021,11,Osasuna,6
2021,11,Rayo Vallecano,7
2021,11,Athletic Club,8
2021,11,Barcelona,9
2021,11,Villarreal,10
2021,11,Espanyol,11
2021,11,Mallorca,12
2021,11,Valencia,13
2021,11,Granada CF,14
2021,11,Celta Vigo,15
2021,11,Elche,16
2021,11,Alaves,17
