season,date,home,away,home_goals,away_goals,is_draw
2023,2023-08-11T19:00:00+00:00,Burnley,Manchester City,0,3,False
2023,2023-08-12T11:30:00+00:00,Arsenal,Nottingham Forest,2,1,False
2023,2023-08-12T14:00:00+00:00,Bournemouth,West Ham,1,1,True
2023,2023-08-12T14:00:00+00:00,Everton,Fulham,0,1,False
2023,2023-08-12T14:00:00+00:00,Brighton,Luton,4,1,False
2023,2023-08-12T14:00:00+00:00,Sheffield Utd,Crystal Palace,0,1,False
2023,2023-08-12T16:30:00+00:00,Newcastle,Aston Villa,5,1,False
2023,2023-08-13T13:00:00+00:00,Brentford,Tottenham,2,2,True
2023,2023-08-13T15:30:00+00:00,Chelsea,Liverpool,1,1,True
2023,2023-08-14T19:00:00+00:00,Manchester United,Wolves,1,0,False
2023,2023-08-18T18:45:00+00:00,Nottingham Forest,Sheffield Utd,2,1,False
2023,2023-08-19T14:00:00+00:00,Fulham,Brentford,0,3,False
2023,2023-08-19T14:00:00+00:00,Wolves,Brighton,1,4,False
2023,2023-08-19T14:00:00+00:00,Liverpool,Bournemouth,3,1,False
2023,2023-08-19T16:30:00+00:00,Tottenham,Manchester United,2,0,False
2023,2023-08-19T19:00:00+00:00,Manchester City,Newcastle,1,0,False
2023,2023-08-20T13:00:00+00:00,Aston Villa,Everton,4,0,False
2023,2023-08-20T15:30:00+00:00,West Ham,Chelsea,3,1,False
2023,2023-08-21T19:00:00+00:00,Crystal Palace,Arsenal,0,1,False
2023,2023-08-25T19:00:00+00:00,Chelsea,Luton,3,0,False
2023,2023-08-26T11:30:00+00:00,Bournemouth,Tottenham,0,2,False
2023,2023-08-26T14:00:00+00:00,Manchester United,Nottingham Forest,3,2,False
2023,2023-08-26T14:00:00+00:00,Arsenal,Fulham,2,2,True
2023,2023-08-26T14:00:00+00:00,Everton,Wolves,0,1,False
2023,2023-08-26T14:00:00+00:00,Brentford,Crystal Palace,1,1,True
2023,2023-08-26T16:30:00+00:00,Brighton,West Ham,1,3,False
2023,2023-08-27T13:00:00+00:00,Burnley,Aston Villa,1,3,False
2023,2023-08-27T13:00:00+00:00,Sheffield Utd,Manchester City,1,2,False
2023,2023-08-27T15:30:00+00:00,Newcastle,Liverpool,1,2,False
2023,2023-09-01T19:00:00+00:00,Luton,West Ham,1,2,False
2023,2023-09-02T11:30:00+00:00,Sheffield Utd,Everton,2,2,True
2023,2023-09-02T14:00:00+00:00,Burnley,Tottenham,2,5,False
2023,2023-09-02T14:00:00+00:00,Chelsea,Nottingham Forest,0,1,False
2023,2023-09-02T14:00:00+00:00,Manchester City,Fulham,5,1,False
2023,2023-09-02T14:00:00+00:00,Brentford,Bournemouth,2,2,True
2023,2023-09-02T16:30:00+00:00,Brighton,Newcastle,3,1,False
2023,2023-09-03T13:00:00+00:00,Liverpool,Aston Villa,3,0,False
2023,2023-09-03T13:00:00+00:00,Crystal Palace,Wolves,3,2,False
2023,2023-09-03T15:30:00+00:00,Arsenal,Manchester United,3,1,False
2023,2023-09-16T11:30:00+00:00,Wolves,Liverpool,1,3,False
2023,2023-09-16T14:00:00+00:00,Manchester United,Brighton,1,3,False
2023,2023-09-16T14:00:00+00:00,Fulham,Luton,1,0,False
2023,2023-09-16T14:00:00+00:00,Tottenham,Sheffield Utd,2,1,False
2023,2023-09-16T14:00:00+00:00,West Ham,Manchester City,1,3,False
2023,2023-09-16T14:00:00+00:00,Aston Villa,Crystal Palace,3,1,False
2023,2023-09-16T16:30:00+00:00,Newcastle,Brentford,1,0,False
2023,2023-09-17T13:00:00+00:00,Bournemouth,Chelsea,0,0,True
2023,2023-09-17T15:30:00+00:00,Everton,Arsenal,0,1,False
2023,2023-09-18T18:45:00+00:00,Nottingham Forest,Burnley,1,1,True
2023,2023-09-23T14:00:00+00:00,Manchester City,Nottingham Forest,2,0,False
2023,2023-09-23T14:00:00+00:00,Crystal Palace,Fulham,0,0,True
2023,2023-09-23T14:00:00+00:00,Luton,Wolves,1,1,True
2023,2023-09-23T16:30:00+00:00,Brentford,Everton,1,3,False
2023,2023-09-23T19:00:00+00:00,Burnley,Manchester United,0,1,False
2023,2023-09-24T13:00:00+00:00,Liverpool,West Ham,3,1,False
2023,2023-09-24T13:00:00+00:00,Arsenal,Tottenham,2,2,True
2023,2023-09-24T13:00:00+00:00,Chelsea,Aston Villa,0,1,False
2023,2023-09-24T13:00:00+00:00,Brighton,Bournemouth,3,1,False
2023,2023-09-24T15:30:00+00:00,Sheffield Utd,Newcastle,0,8,False
2023,2023-09-30T11:30:00+00:00,Aston Villa,Brighton,6,1,False
2023,2023-09-30T14:00:00+00:00,Manchester United,Crystal Palace,0,1,False
2023,2023-09-30T14:00:00+00:00,Newcastle,Burnley,2,0,False
2023,2023-09-30T14:00:00+00:00,Bournemouth,Arsenal,0,4,False
2023,2023-09-30T14:00:00+00:00,Wolves,Manchester City,2,1,False
2023,2023-09-30T14:00:00+00:00,Everton,Luton,1,2,False
2023,2023-09-30T14:00:00+00:00,West Ham,Sheffield Utd,2,0,False
2023,2023-09-30T16:30:00+00:00,Tottenham,Liverpool,2,1,False
2023,2023-10-01T13:00:00+00:00,Nottingham Forest,Brentford,1,1,True
2023,2023-10-02T19:00:00+00:00,Fulham,Chelsea,0,2,False
2023,2023-10-03T18:30:00+00:00,Luton,Burnley,1,2,False
