season,date,home,away,home_goals,away_goals,is_draw
2019,2019-08-09T19:00:00+00:00,Liverpool,Norwich,4,1,False
2019,2019-08-10T11:30:00+00:00,West Ham,Manchester City,0,5,False
2019,2019-08-10T14:00:00+00:00,Bournemouth,Sheffield Utd,1,1,True
2019,2019-08-10T14:00:00+00:00,Watford,Brighton,0,3,False
2019,2019-08-10T14:00:00+00:00,Burnley,Southampton,3,0,False
2019,2019-08-10T14:00:00+00:00,Crystal Palace,Everton,0,0,True
2019,2019-08-10T16:30:00+00:00,Tottenham,Aston Villa,3,1,False
2019,2019-08-11T13:00:00+00:00,Newcastle,Arsenal,0,1,False
2019,2019-08-11T13:00:00+00:00,Leicester,Wolves,0,0,True
2019,2019-08-11T15:30:00+00:00,Manchester United,Chelsea,4,0,False
2019,2019-08-17T11:30:00+00:00,Arsenal,Burnley,2,1,False
2019,2019-08-17T14:00:00+00:00,Southampton,Liverpool,1,2,False
2019,2019-08-17T14:00:00+00:00,Everton,Watford,1,0,False
2019,2019-08-17T14:00:00+00:00,Brighton,West Ham,1,1,True
2019,2019-08-17T14:00:00+00:00,Aston Villa,Bournemouth,1,2,False
2019,2019-08-17T14:00:00+00:00,Norwich,Newcastle,3,1,False
2019,2019-08-17T16:30:00+00:00,Manchester City,Tottenham,2,2,True
2019,2019-08-18T13:00:00+00:00,Sheffield Utd,Crystal Palace,1,0,False
2019,2019-08-18T15:30:00+00:00,Chelsea,Leicester,1,1,True
2019,2019-08-19T19:00:00+00:00,Wolves,Manchester United,1,1,True
2019,2019-08-23T19:00:00+00:00,Aston Villa,Everton,2,0,False
2019,2019-08-24T11:30:00+00:00,Norwich,Chelsea,2,3,False
2019,2019-08-24T14:00:00+00:00,Manchester United,Crystal Palace,1,2,False
2019,2019-08-24T14:00:00+00:00,Watford,West Ham,1,3,False
2019,2019-08-24T14:00:00+00:00,Brighton,Southampton,0,2,False
2019,2019-08-24T14:00:00+00:00,Sheffield Utd,Leicester,1,2,False
2019,2019-08-24T16:30:00+00:00,Liverpool,Arsenal,3,1,False
2019,2019-08-25T13:00:00+00:00,Bournemouth,Manchester City,1,3,False
2019,2019-08-25T15:30:00+00:00,Wolves,Burnley,1,1,True
2019,2019-08-25T15:30:00+00:00,Tottenham,Newcastle,0,1,False
2019,2019-08-31T11:30:00+00:00,Southampton,Manchester United,1,1,True
2019,2019-08-31T14:00:00+00:00,Newcastle,Watford,1,1,True
2019,2019-08-31T14:00:00+00:00,Leicester,Bournemouth,3,1,False
2019,2019-08-31T14:00:00+00:00,West Ham,Norwich,2,0,False
2019,2019-08-31T14:00:00+00:00,Chelsea,Sheffield Utd,2,2,True
2019,2019-08-31T14:00:00+00:00,Manchester City,Brighton,4,0,False
2019,2019-08-31T14:00:00+00:00,Crystal Palace,Aston Villa,1,0,False
2019,2019-08-31T16:30:00+00:00,Burnley,Liverpool,0,3,False
2019,2019-09-01T13:00:00+00:00,Everton,Wolves,3,2,False
2019,2019-09-01T15:30:00+00:00,Arsenal,Tottenham,2,2,True
2019,2019-09-14T11:30:00+00:00,Liverpool,Newcastle,3,1,False
2019,2019-09-14T14:00:00+00:00,Manchester United,Leicester,1,0,False
2019,2019-09-14T14:00:00+00:00,Wolves,Chelsea,2,5,False
2019,2019-09-14T14:00:00+00:00,Tottenham,Crystal Palace,4,0,False
2019,2019-09-14T14:00:00+00:00,Brighton,Burnley,1,1,True
2019,2019-09-14T14:00:00+00:00,Sheffield Utd,Southampton,0,1,False
2019,2019-09-14T16:30:00+00:00,Norwich,Manchester City,3,2,False
2019,2019-09-15T13:00:00+00:00,Bournemouth,Everton,3,1,False
2019,2019-09-15T15:30:00+00:00,Watford,Arsenal,2,2,True
