season,date,home,away,home_goals,away_goals,is_draw
2021,2021-08-13T19:00:00+00:00,Brentford,Arsenal,2,0,False
2021,2021-08-14T11:30:00+00:00,Manchester United,Leeds,5,1,False
2021,2021-08-14T14:00:00+00:00,Watford,Aston Villa,3,2,False
2021,2021-08-14T14:00:00+00:00,Burnley,Brighton,1,2,False
2021,2021-08-14T14:00:00+00:00,Everton,Southampton,3,1,False
2021,2021-08-14T14:00:00+00:00,Leicester,Wolves,1,0,False
2021,2021-08-14T14:00:00+00:00,Chelsea,Crystal Palace,3,0,False
2021,2021-08-14T16:30:00+00:00,Norwich,Liverpool,0,3,False
2021,2021-08-15T13:00:00+00:00,Newcastle,West Ham,2,4,False
2021,2021-08-15T15:30:00+00:00,Tottenham,Manchester City,1,0,False
2021,2021-08-21T11:30:00+00:00,Liverpool,Burnley,2,0,False
2021,2021-08-21T14:00:00+00:00,Manchester City,Norwich,5,0,False
2021,2021-08-21T14:00:00+00:00,Crystal Palace,Brentford,0,0,True
2021,2021-08-21T14:00:00+00:00,Leeds,Everton,2,2,True
2021,2021-08-21T14:00:00+00:00,Aston Villa,Newcastle,2,0,False
2021,2021-08-21T16:30:00+00:00,Brighton,Watford,2,0,False
2021,2021-08-22T13:00:00+00:00,Wolves,Tottenham,0,1,False
2021,2021-08-22T13:00:00+00:00,Southampton,Manchester United,1,1,True
2021,2021-08-22T15:30:00+00:00,Arsenal,Chelsea,0,2,False
2021,2021-08-23T19:00:00+00:00,West Ham,Leicester,4,1,False
2021,2021-08-28T11:30:00+00:00,Manchester City,Arsenal,5,0,False
2021,2021-08-28T14:00:00+00:00,Newcastle,Southampton,2,2,True
2021,2021-08-28T14:00:00+00:00,West Ham,Crystal Palace,2,2,True
2021,2021-08-28T14:00:00+00:00,Brighton,Everton,0,2,False
2021,2021-08-28T14:00:00+00:00,Aston Villa,Brentford,1,1,True
2021,2021-08-28T14:00:00+00:00,Norwich,Leicester,1,2,False
2021,2021-08-28T16:30:00+00:00,Liverpool,Chelsea,1,1,True
2021,2021-08-29T13:00:00+00:00,Burnley,Leeds,1,1,True
2021,2021-08-29T13:00:00+00:00,Tottenham,Watford,1,0,False
2021,2021-08-29T15:30:00+00:00,Wolves,Manchester United,0,1,False
2021,2021-09-11T11:30:00+00:00,Crystal Palace,Tottenham,3,0,False
2021,2021-09-11T14:00:00+00:00,Manchester United,Newcastle,4,1,False
2021,2021-09-11T14:00:00+00:00,Watford,Wolves,0,2,False
2021,2021-09-11T14:00:00+00:00,Southampton,West Ham,0,0,True
2021,2021-09-11T14:00:00+00:00,Arsenal,Norwich,1,0,False
2021,2021-09-11T14:00:00+00:00,Leicester,Manchester City,0,1,False
2021,2021-09-11T14:00:00+00:00,Brentford,Brighton,0,1,False
2021,2021-09-11T16:30:00+00:00,Chelsea,Aston Villa,3,0,False
2021,2021-09-12T15:30:00+00:00,Leeds,Liverpool,0,3,False
2021,2021-09-13T19:00:00+00:00,Everton,Burnley,3,1,False
2021,2021-09-17T19:00:00+00:00,Newcastle,Leeds,1,1,True
2021,2021-09-18T11:30:00+00:00,Wolves,Brentford,0,2,False
2021,2021-09-18T14:00:00+00:00,Liverpool,Crystal Palace,3,0,False
2021,2021-09-18T14:00:00+00:00,Burnley,Arsenal,0,1,False
2021,2021-09-18T14:00:00+00:00,Manchester City,Southampton,0,0,True
2021,2021-09-18T14:00:00+00:00,Norwich,Watford,1,3,False
2021,2021-09-18T16:30:00+00:00,Aston Villa,Everton,3,0,False
2021,2021-09-19T13:00:00+00:00,West Ham,Manchester United,1,2,False
2021,2021-09-19T13:00:00+00:00,Brighton,Leicester,2,1,False
2021,2021-09-19T15:30:00+00:00,Tottenham,Chelsea,0,3,False
2021,2021-09-25T11:30:00+00:00,Manchester United,Aston Villa,0,1,False
2021,2021-09-25T11:30:00+00:00,Chelsea,Manchester City,0,1,False
2021,2021-09-25T14:00:00+00:00,Watford,Newcastle,1,1,True
2021,2021-09-25T14:00:00+00:00,Everton,Norwich,2,0,False
2021,2021-09-25T14:00:00+00:00,Leicester,Burnley,2,2,True
2021,2021-09-25T14:00:00+00:00,Leeds,West Ham,1,2,False
2021,2021-09-25T16:30:00+00:00,Brentford,Liverpool,3,3,True
2021,2021-09-26T13:00:00+00:00,Southampton,Wolves,0,1,False
2021,2021-09-26T15:30:00+00:00,Arsenal,Tottenham,3,1,False
2021,2021-09-27T19:00:00+00:00,Crystal Palace,Brighton,1,1,True
2021,2021-10-02T11:30:00+00:00,Manchester United,Everton,1,1,True
2021,2021-10-02T14:00:00+00:00,Wolves,Newcastle,2,1,False
2021,2021-10-02T14:00:00+00:00,Burnley,Norwich,0,0,True
2021,2021-10-02T14:00:00+00:00,Chelsea,Southampton,3,1,False
2021,2021-10-02T14:00:00+00:00,Leeds,Watford,1,0,False
2021,2021-10-02T16:30:00+00:00,Brighton,Arsenal,0,0,True
2021,2021-10-03T13:00:00+00:00,Tottenham,Aston Villa,2,1,False
2021,2021-10-03T13:00:00+00:00,West Ham,Brentford,1,2,False
2021,2021-10-03T13:00:00+00:00,Crystal Palace,Leicester,2,2,True
2021,2021-10-03T15:30:00+00:00,Liverpool,Manchester City,2,2,True
2021,2021-10-16T11:30:00+00:00,Watford,Liverpool,0,5,False
2021,2021-10-16T14:00:00+00:00,Southampton,Leeds,1,0,False
2021,2021-10-16T14:00:00+00:00,Leicester,Manchester United,4,2,False
2021,2021-10-16T14:00:00+00:00,Manchester City,Burnley,2,0,False
2021,2021-10-16T14:00:00+00:00,Aston Villa,Wolves,2,3,False
2021,2021-10-16T14:00:00+00:00,Norwich,Brighton,0,0,True
2021,2021-10-16T16:30:00+00:00,Brentford,Chelsea,0,1,False
2021,2021-10-17T13:00:00+00:00,Everton,West Ham,0,1,False
2021,2021-10-17T15:30:00+00:00,Newcastle,Tottenham,2,3,False
2021,2021-10-18T19:00:00+00:00,Arsenal,Crystal Palace,2,2,True
2021,2021-10-22T19:00:00+00:00,Arsenal,Aston Villa,3,1,False
2021,2021-10-23T11:30:00+00:00,Chelsea,Norwich,7,0,False
2021,2021-10-23T14:00:00+00:00,Southampton,Burnley,2,2,True
2021,2021-10-23T14:00:00+00:00,Everton,Watford,2,5,False
2021,2021-10-23T14:00:00+00:00,Crystal Palace,Newcastle,1,1,True
2021,2021-10-23T14:00:00+00:00,Leeds,Wolves,1,1,True
2021,2021-10-23T16:30:00+00:00,Brighton,Manchester City,1,4,False
2021,2021-10-24T13:00:00+00:00,West Ham,Tottenham,1,0,False
2021,2021-10-24T13:00:00+00:00,Brentford,Leicester,1,2,False
2021,2021-10-24T15:30:00+00:00,Manchester United,Liverpool,0,5,False
2021,2021-10-30T11:30:00+00:00,Leicester,Arsenal,0,2,False
2021,2021-10-30T14:00:00+00:00,Newcastle,Chelsea,0,3,False
2021,2021-10-30T14:00:00+00:00,Watford,Southampton,0,1,False
2021,2021-10-30T14:00:00+00:00,Liverpool,Brighton,2,2,True
2021,2021-10-30T14:00:00+00:00,Burnley,Brentford,3,1,False
2021,2021-10-30T14:00:00+00:00,Manchester City,Crystal Palace,0,2,False
2021,2021-10-30T16:30:00+00:00,Tottenham,Manchester United,0,3,False
2021,2021-10-31T14:00:00+00:00,Norwich,Leeds,1,2,False
2021,2021-10-31T16:30:00+00:00,Aston Villa,West Ham,1,4,False
2021,2021-11-01T20:00:00+00:00,Wolves,Everton,2,1,False
2021,2021-11-05T20:00:00+00:00,Southampton,Aston Villa,1,0,False
2021,2021-11-06T12:30:00+00:00,Manchester United,Manchester City,0,2,False
2021,2021-11-06T15:00:00+00:00,Chelsea,Burnley,1,1,True
2021,2021-11-06T15:00:00+00:00,Crystal Palace,Wolves,2,0,False
2021,2021-11-06T15:00:00+00:00,Brentford,Norwich,1,2,False
2021,2021-11-06T17:30:00+00:00,Brighton,Newcastle,1,1,True
2021,2021-11-07T14:00:00+00:00,Arsenal,Watford,1,0,False
2021,2021-11-07T14:00:00+00:00,Everton,Tottenham,0,0,True
2021,2021-11-07T14:00:00+00:00,Leeds,Leicester,1,1,True
2021,2021-11-07T16:30:00+00:00,West Ham,Liverpool,3,2,False
2021,2021-11-20T12:30:00+00:00,Leicester,Chelsea,0,3,False
2021,2021-11-20T15:00:00+00:00,Newcastle,Brentford,3,3,True
2021,2021-11-20T15:00:00+00:00,Watford,Manchester United,4,1,False
2021,2021-11-20T15:00:00+00:00,Wolves,West Ham,1,0,False
2021,2021-11-20T15:00:00+00:00,Burnley,Crystal Palace,3,3,True
2021,2021-11-20T15:00:00+00:00,Aston Villa,Brighton,2,0,False
2021,2021-11-20T15:00:00+00:00,Norwich,Southampton,2,1,False
