season,date,home,away,home_goals,away_goals,is_draw
2017,2017-08-11T18:45:00+00:00,Arsenal,Leicester,4,3,False
2017,2017-08-12T11:30:00+00:00,Watford,Liverpool,3,3,True
2017,2017-08-12T14:00:00+00:00,Southampton,Swansea,0,0,True
2017,2017-08-12T14:00:00+00:00,Everton,Stoke City,1,0,False
2017,2017-08-12T14:00:00+00:00,Chelsea,Burnley,2,3,False
2017,2017-08-12T14:00:00+00:00,Crystal Palace,Huddersfield,0,3,False
2017,2017-08-12T14:00:00+00:00,West Brom,Bournemouth,1,0,False
2017,2017-08-12T16:30:00+00:00,Brighton,Manchester City,0,2,False
2017,2017-08-13T12:30:00+00:00,Newcastle,Tottenham,0,2,False
2017,2017-08-13T15:00:00+00:00,Manchester United,West Ham,4,0,False
2017,2017-08-19T11:30:00+00:00,Swansea,Manchester United,0,4,False
2017,2017-08-19T14:00:00+00:00,Bournemouth,Watford,0,2,False
2017,2017-08-19T14:00:00+00:00,Liverpool,Crystal Palace,1,0,False
2017,2017-08-19T14:00:00+00:00,Southampton,West Ham,3,2,False
2017,2017-08-19T14:00:00+00:00,Burnley,West Brom,0,1,False
2017,2017-08-19T14:00:00+00:00,Leicester,Brighton,2,0,False
2017,2017-08-19T16:30:00+00:00,Stoke City,Arsenal,1,0,False
2017,2017-08-20T12:30:00+00:00,Huddersfield,Newcastle,1,0,False
2017,2017-08-20T15:00:00+00:00,Tottenham,Chelsea,1,2,False
2017,2017-08-21T19:00:00+00:00,Manchester City,Everton,1,1,True
2017,2017-08-26T11:30:00+00:00,Bournemouth,Manchester City,1,2,False
2017,2017-08-26T14:00:00+00:00,Newcastle,West Ham,3,0,False
2017,2017-08-26T14:00:00+00:00,Huddersfield,Southampton,0,0,True
2017,2017-08-26T14:00:00+00:00,Watford,Brighton,0,0,True
2017,2017-08-26T14:00:00+00:00,Crystal Palace,Swansea,0,2,False
2017,2017-08-26T16:30:00+00:00,Manchester United,Leicester,2,0,False
2017,2017-08-27T12:30:00+00:00,Chelsea,Everton,2,0,False
2017,2017-08-27T12:30:00+00:00,West Brom,Stoke City,1,1,True
2017,2017-08-27T15:00:00+00:00,Liverpool,Arsenal,4,0,False
2017,2017-08-27T15:00:00+00:00,Tottenham,Burnley,1,1,True
2017,2017-09-09T11:30:00+00:00,Manchester City,Liverpool,5,0,False
2017,2017-09-09T14:00:00+00:00,Southampton,Watford,0,2,False
2017,2017-09-09T14:00:00+00:00,Arsenal,Bournemouth,3,0,False
2017,2017-09-09T14:00:00+00:00,Everton,Tottenham,0,3,False
2017,2017-09-09T14:00:00+00:00,Leicester,Chelsea,1,2,False
2017,2017-09-09T14:00:00+00:00,Brighton,West Brom,3,1,False
2017,2017-09-09T16:30:00+00:00,Stoke City,Manchester United,2,2,True
2017,2017-09-10T12:30:00+00:00,Burnley,Crystal Palace,1,0,False
2017,2017-09-10T15:00:00+00:00,Swansea,Newcastle,0,1,False
2017,2017-09-11T19:00:00+00:00,West Ham,Huddersfield,2,0,False
2017,2017-09-15T19:00:00+00:00,Bournemouth,Brighton,2,1,False
2017,2017-09-16T11:30:00+00:00,Crystal Palace,Southampton,0,1,False
2017,2017-09-16T14:00:00+00:00,Newcastle,Stoke City,2,1,False
2017,2017-09-16T14:00:00+00:00,Huddersfield,Leicester,1,1,True
2017,2017-09-16T14:00:00+00:00,Watford,Manchester City,0,6,False
2017,2017-09-16T14:00:00+00:00,Liverpool,Burnley,1,1,True
2017,2017-09-16T14:00:00+00:00,West Brom,West Ham,0,0,True
2017,2017-09-16T16:30:00+00:00,Tottenham,Swansea,0,0,True
2017,2017-09-17T12:30:00+00:00,Chelsea,Arsenal,0,0,True
2017,2017-09-17T15:00:00+00:00,Manchester United,Everton,4,0,False
2017,2017-09-23T11:30:00+00:00,West Ham,Tottenham,2,3,False
2017,2017-09-23T14:00:00+00:00,Southampton,Manchester United,0,1,False
2017,2017-09-23T14:00:00+00:00,Burnley,Huddersfield,0,0,True
2017,2017-09-23T14:00:00+00:00,Everton,Bournemouth,2,1,False
2017,2017-09-23T14:00:00+00:00,Manchester City,Crystal Palace,5,0,False
2017,2017-09-23T14:00:00+00:00,Stoke City,Chelsea,0,4,False
2017,2017-09-23T14:00:00+00:00,Swansea,Watford,1,2,False
2017,2017-09-23T16:30:00+00:00,Leicester,Liverpool,2,3,False
2017,2017-09-24T15:00:00+00:00,Brighton,Newcastle,1,0,False
2017,2017-09-25T19:00:00+00:00,Arsenal,West Brom,2,0,False
2017,2017-09-30T11:30:00+00:00,Huddersfield,Tottenham,0,4,False
2017,2017-09-30T14:00:00+00:00,Manchester United,Crystal Palace,4,0,False
2017,2017-09-30T14:00:00+00:00,Bournemouth,Leicester,0,0,True
2017,2017-09-30T14:00:00+00:00,West Ham,Swansea,1,0,False
2017,2017-09-30T14:00:00+00:00,West Brom,Watford,2,2,True
2017,2017-09-30T14:00:00+00:00,Stoke City,Southampton,2,1,False
2017,2017-09-30T16:30:00+00:00,Chelsea,Manchester City,0,1,False
2017,2017-10-01T11:00:00+00:00,Arsenal,Brighton,2,0,False
2017,2017-10-01T13:15:00+00:00,Everton,Burnley,0,1,False
2017,2017-10-01T15:30:00+00:00,Newcastle,Liverpool,1,1,True
2017,2017-10-14T11:30:00+00:00,Liverpool,Manchester United,0,0,True
2017,2017-10-14T14:00:00+00:00,Burnley,West Ham,1,1,True
2017,2017-10-14T14:00:00+00:00,Tottenham,Bournemouth,1,0,False
2017,2017-10-14T14:00:00+00:00,Manchester City,Stoke City,7,2,False
2017,2017-10-14T14:00:00+00:00,Crystal Palace,Chelsea,2,1,False
2017,2017-10-14T14:00:00+00:00,Swansea,Huddersfield,2,0,False
2017,2017-10-14T16:30:00+00:00,Watford,Arsenal,2,1,False
2017,2017-10-15T12:30:00+00:00,Brighton,Everton,1,1,True
2017,2017-10-15T15:00:00+00:00,Southampton,Newcastle,2,2,True
2017,2017-10-16T19:00:00+00:00,Leicester,West Brom,1,1,True
2017,2017-10-20T19:00:00+00:00,West Ham,Brighton,0,3,False
2017,2017-10-21T11:30:00+00:00,Chelsea,Watford,4,2,False
2017,2017-10-21T14:00:00+00:00,Newcastle,Crystal Palace,1,0,False
2017,2017-10-21T14:00:00+00:00,Huddersfield,Manchester United,2,1,False
2017,2017-10-21T14:00:00+00:00,Manchester City,Burnley,3,0,False
2017,2017-10-21T14:00:00+00:00,Stoke City,Bournemouth,1,2,False
2017,2017-10-21T14:00:00+00:00,Swansea,Leicester,1,2,False
2017,2017-10-21T16:30:00+00:00,Southampton,West Brom,1,0,False
2017,2017-10-22T12:30:00+00:00,Everton,Arsenal,2,5,False
2017,2017-10-22T15:00:00+00:00,Tottenham,Liverpool,4,1,False
2017,2017-10-28T11:30:00+00:00,Manchester United,Tottenham,1,0,False
2017,2017-10-28T14:00:00+00:00,Watford,Stoke City,0,1,False
2017,2017-10-28T14:00:00+00:00,Liverpool,Huddersfield,3,0,False
2017,2017-10-28T14:00:00+00:00,Arsenal,Swansea,2,1,False
2017,2017-10-28T14:00:00+00:00,Crystal Palace,West Ham,2,2,True
2017,2017-10-28T14:00:00+00:00,West Brom,Manchester City,2,3,False
2017,2017-10-28T16:30:00+00:00,Bournemouth,Chelsea,0,1,False
2017,2017-10-29T13:30:00+00:00,Brighton,Southampton,1,1,True
2017,2017-10-29T16:00:00+00:00,Leicester,Everton,2,0,False
2017,2017-10-30T20:00:00+00:00,Burnley,Newcastle,1,0,False
2017,2017-11-04T12:30:00+00:00,Stoke City,Leicester,2,2,True
2017,2017-11-04T15:00:00+00:00,Newcastle,Bournemouth,0,1,False
2017,2017-11-04T15:00:00+00:00,Huddersfield,West Brom,1,0,False
2017,2017-11-04T15:00:00+00:00,Southampton,Burnley,0,1,False
2017,2017-11-04T15:00:00+00:00,Swansea,Brighton,0,1,False
2017,2017-11-04T17:30:00+00:00,West Ham,Liverpool,1,4,False
2017,2017-11-05T12:00:00+00:00,Tottenham,Crystal Palace,1,0,False
2017,2017-11-05T14:15:00+00:00,Manchester City,Arsenal,3,1,False
2017,2017-11-05T16:30:00+00:00,Everton,Watford,3,2,False
2017,2017-11-05T16:30:00+00:00,Chelsea,Manchester United,1,0,False
2017,2017-11-18T12:30:00+00:00,Arsenal,Tottenham,2,0,False
2017,2017-11-18T15:00:00+00:00,Bournemouth,Huddersfield,4,0,False
2017,2017-11-18T15:00:00+00:00,Liverpool,Southampton,3,0,False
2017,2017-11-18T15:00:00+00:00,Burnley,Swansea,2,0,False
2017,2017-11-18T15:00:00+00:00,Leicester,Manchester City,0,2,False
2017,2017-11-18T15:00:00+00:00,Crystal Palace,Everton,2,2,True
2017,2017-11-18T15:00:00+00:00,West Brom,Chelsea,0,4,False
2017,2017-11-18T17:30:00+00:00,Manchester United,Newcastle,4,1,False
2017,2017-11-19T16:00:00+00:00,Watford,West Ham,2,0,False
2017,2017-11-20T20:00:00+00:00,Brighton,Stoke City,2,2,True
2017,2017-11-24T20:00:00+00:00,West Ham,Leicester,1,1,True
2017,2017-11-25T15:00:00+00:00,Manchester United,Brighton,1,0,False
2017,2017-11-25T15:00:00+00:00,Newcastle,Watford,0,3,False
2017,2017-11-25T15:00:00+00:00,Tottenham,West Brom,1,1,True
