Season,Matchday,Team,Points,GD,GF,MP,Rank
2017,11,West Ham,9,-12,11,11,18
2017,11,Swansea,8,-6,7,11,19
2017,11,Crystal Palace,4,-18,4,11,20
2017,12,Manchester City,34,33,40,12,1
2017,12,Manchester United,26,21,27,12,2
2017,12,Chelsea,25,13,23,12,3
2017,12,Tottenham,23,11,20,12,4
2017,12,Liverpool,22,7,24,12,5
2017,12,Arsenal,22,6,22,12,6
2017,12,Burnley,22,3,12,12,7
2017,12,Watford,18,-2,19,12,8
2017,12,Brighton,16,0,13,12,9
2017,12,Huddersfield,15,-9,8,12,10
2017,12,Newcastle,14,-3,11,12,11
2017,12,Leicester,13,-2,16,12,12
2017,12,Bournemouth,13,-3,11,12,13
2017,12,Southampton,13,-5,9,12,14
2017,12,Stoke City,13,-9,15,12,15
2017,12,Everton,12,-12,12,12,16
2017,12,West Brom,10,-9,9,12,17
2017,12,West Ham,9,-14,11,12,18
2017,12,Swansea,8,-8,7,12,19
2017,12,Crystal Palace,5,-18,6,12,20
2017,13,Manchester City,37,34,42,13,1
2017,13,Manchester United,29,22,28,13,2
2017,13,Chelsea,26,13,24,13,3
2017,13,Arsenal,25,7,23,13,4
2017,13,Tottenham,24,11,21,13,5
2017,13,Liverpool,23,7,25,13,6
2017,13,Burnley,22,2,12,13,7
2017,13,Watford,21,1,22,13,8
2017,13,Brighton,16,-1,13,13,9
2017,13,Southampton,16,-2,13,13,10
2017,13,Huddersfield,15,-10,9,13,11
2017,13,Leicester,14,-2,17,13,12
2017,13,Bournemouth,14,-3,11,13,13
2017,13,Newcastle,14,-6,11,13,14
2017,13,Stoke City,13,-10,16,13,15
2017,13,Everton,12,-15,13,13,16
2017,13,West Brom,11,-9,10,13,17
2017,13,West Ham,10,-14,12,13,18
2017,13,Swansea,9,-8,7,13,19
2017,13,Crystal Palace,8,-17,8,13,20
2017,14,Manchester City,40,35,44,14,1
2017,14,Manchester United,32,24,32,14,2
2017,14,Chelsea,29,14,25,14,3
2017,14,Arsenal,28,12,28,14,4
2017,14,Liverpool,26,10,28,14,5
2017,14,Burnley,25,3,14,14,6
2017,14,Tottenham,24,10,22,14,7
2017,14,Watford,21,-1,24,14,8
2017,14,Leicester,17,-1,19,14,9
2017,14,Brighton,17,-1,13,14,10
2017,14,Southampton,16,-3,14,14,11
2017,14,Newcastle,15,-6,13,14,12
2017,14,Everton,15,-11,17,14,13
2017,14,Huddersfield,15,-15,9,14,14
2017,14,Bournemouth,14,-4,12,14,15
2017,14,Stoke City,13,-13,16,14,16
2017,14,West Brom,12,-9,12,14,17
2017,14,West Ham,10,-18,12,14,18
2017,14,Swansea,9,-9,7,14,19
2017,14,Crystal Palace,9,-17,8,14,20
2017,15,Manchester City,43,36,46,15,1
2017,15,Manchester United,35,26,35,15,2
2017,15,Chelsea,32,16,28,15,3
2017,15,Liverpool,29,14,33,15,4
2017,15,Arsenal,28,10,29,15,5
2017,15,Tottenham,25,10,23,15,6
2017,15,Burnley,25,2,14,15,7
2017,15,Watford,22,-1,25,15,8
2017,15,Leicester,20,0,20,15,9
2017,15,Everton,18,-9,19,15,10
2017,15,Southampton,17,-3,15,15,11
2017,15,Brighton,17,-5,14,15,12
2017,15,Stoke City,16,-12,18,15,13
2017,15,Bournemouth,15,-4,13,15,14
2017,15,Newcastle,15,-8,14,15,15
2017,15,Huddersfield,15,-17,9,15,16
2017,15,West Brom,13,-9,12,15,17
2017,15,Crystal Palace,10,-17,8,15,18
2017,15,West Ham,10,-19,13,15,19
2017,15,Swansea,9,-10,8,15,20
2017,16,Manchester City,46,37,48,16,1
2017,16,Manchester United,35,25,36,16,2
2017,16,Chelsea,32,15,28,16,3
2017,16,Liverpool,30,14,34,16,4
2017,16,Arsenal,29,10,30,16,5
2017,16,Tottenham,28,14,28,16,6
2017,16,Burnley,28,3,15,16,7
2017,16,Leicester,23,1,23,16,8
2017,16,Watford,22,-2,25,16,9
2017,16,Everton,19,-9,20,16,10
2017,16,Southampton,18,-3,16,16,11
2017,16,Huddersfield,18,-15,11,16,12
2017,16,Brighton,17,-7,14,16,13
2017,16,Bournemouth,16,-4,15,16,14
2017,16,Stoke City,16,-16,19,16,15
2017,16,Newcastle,15,-9,16,16,16
2017,16,West Brom,13,-10,12,16,17
2017,16,West Ham,13,-18,14,16,18
2017,16,Swansea,12,-9,9,16,19
2017,16,Crystal Palace,11,-17,10,16,20
2017,17,Manchester City,49,41,52,17,1
2017,17,Manchester United,38,26,37,17,2
2017,17,Chelsea,35,17,31,17,3
2017,17,Tottenham,31,16,30,17,4
2017,17,Liverpool,31,14,34,17,5
2017,17,Burnley,31,4,16,17,6
2017,17,Arsenal,30,10,30,17,7
2017,17,Leicester,26,4,27,17,8
2017,17,Watford,22,-3,26,17,9
2017,17,Everton,22,-8,21,17,10
2017,17,Southampton,18,-6,17,17,11
2017,17,Huddersfield,18,-17,12,17,12
2017,17,Brighton,17,-9,14,17,13
2017,17,Bournemouth,16,-5,15,17,14
2017,17,Stoke City,16,-17,19,17,15
2017,17,Newcastle,15,-10,16,17,16
2017,17,West Brom,14,-10,12,17,17
2017,17,Crystal Palace,14,-16,12,17,18
2017,17,West Ham,14,-18,14,17,19
2017,17,Swansea,12,-13,9,17,20
2017,18,Manchester City,52,44,56,18,1
2017,18,Manchester United,41,27,39,18,2
2017,18,Chelsea,38,18,32,18,3
2017,18,Liverpool,34,18,38,18,4
2017,18,Arsenal,33,11,31,18,5
2017,18,Burnley,32,4,16,18,6
2017,18,Tottenham,31,13,31,18,7
2017,18,Leicester,26,1,27,18,8
2017,18,Everton,25,-6,24,18,9
2017,18,Watford,22,-6,27,18,10
2017,18,Huddersfield,21,-14,16,18,11
2017,18,Southampton,18,-7,17,18,12
2017,18,Brighton,18,-9,14,18,13
2017,18,Crystal Palace,17,-13,15,18,14
2017,18,West Ham,17,-15,17,18,15
2017,18,Bournemouth,16,-9,15,18,16
2017,18,Stoke City,16,-20,19,18,17
2017,18,Newcastle,15,-11,16,18,18
2017,18,West Brom,14,-11,13,18,19
2017,18,Swansea,12,-15,10,18,20
2017,19,Manchester City,55,48,60,19,1
2017,19,Manchester United,42,27,41,19,2
2017,19,Chelsea,39,18,32,19,3
2017,19,Liverpool,35,18,41,19,4
2017,19,Tottenham,34,16,34,19,5
2017,19,Arsenal,34,11,34,19,6
2017,19,Burnley,32,1,16,19,7
2017,19,Leicester,27,1,29,19,8
2017,19,Everton,26,-6,24,19,9
2017,19,Watford,22,-7,27,19,10
2017,19,Huddersfield,22,-14,17,19,11
2017,19,Brighton,21,-8,15,19,12
2017,19,Southampton,19,-7,18,19,13
2017,19,Stoke City,19,-18,22,19,14
2017,19,Newcastle,18,-10,19,19,15
2017,19,Crystal Palace,18,-13,16,19,16
2017,19,West Ham,17,-16,19,19,17
2017,19,Bournemouth,16,-13,15,19,18
2017,19,West Brom,14,-13,14,19,19
2017,19,Swansea,13,-15,11,19,20
2017,20,Manchester City,58,49,61,20,1
2017,20,Manchester United,43,27,43,20,2
2017,20,Chelsea,42,20,34,20,3
2017,20,Liverpool,38,23,46,20,4
2017,20,Tottenham,37,19,39,20,5
2017,20,Arsenal,37,12,37,20,6
2017,20,Burnley,33,1,18,20,7
2017,20,Leicester,27,0,30,20,8
2017,20,Everton,27,-6,24,20,9
2017,20,Watford,25,-6,29,20,10
2017,20,Huddersfield,23,-14,18,20,11
2017,20,Brighton,21,-10,15,20,12
2017,20,Stoke City,20,-18,23,20,13
2017,20,Southampton,19,-10,20,20,14
2017,20,Newcastle,18,-11,19,20,15
2017,20,Crystal Palace,18,-14,18,20,16
2017,20,West Ham,18,-16,22,20,17
2017,20,Bournemouth,17,-13,18,20,18
2017,20,West Brom,15,-13,14,20,19
2017,20,Swansea,13,-20,11,20,20
2017,21,Manchester City,59,49,61,21,1
2017,21,Chelsea,45,25,39,21,2
2017,21,Manchester United,44,27,43,21,3
2017,21,Liverpool,41,24,48,21,4
2017,21,Arsenal,38,12,38,21,5
2017,21,Tottenham,37,19,39,20,6
2017,21,Burnley,34,1,18,21,7
2017,21,Leicester,27,-1,31,21,8
2017,21,Everton,27,-7,25,21,9
2017,21,Watford,25,-7,30,21,10
2017,21,Huddersfield,24,-14,18,21,11
2017,21,Brighton,23,-10,17,22,12
2017,21,Bournemouth,21,-12,22,22,13
2017,21,Southampton,20,-10,20,21,14
2017,21,Stoke City,20,-23,23,21,15
2017,21,Newcastle,19,-11,19,21,16
2017,21,Crystal Palace,19,-14,18,21,17
2017,21,West Ham,18,-16,22,20,18
2017,21,West Brom,16,-13,15,21,19
2017,21,Swansea,16,-19,13,21,20
2017,22,Manchester City,62,51,64,22,1
2017,22,Manchester United,47,29,45,22,2
2017,22,Chelsea,46,25,41,22,3
2017,22,Liverpool,44,25,50,22,4
2017,22,Tottenham,41,21,42,22,5
2017,22,Arsenal,39,12,40,22,6
2017,22,Burnley,34,0,19,22,7
2017,22,Leicester,30,2,34,22,8
2017,22,Everton,27,-9,25,22,9
2017,22,Watford,25,-9,31,22,10
2017,22,Huddersfield,24,-17,18,22,11
2017,22,Brighton,23,-10,17,22,12
2017,22,Newcastle,22,-10,20,22,13
2017,22,Crystal Palace,22,-13,20,22,14
2017,22,West Ham,22,-15,25,22,15
2017,22,Bournemouth,21,-12,22,22,16
2017,22,Southampton,20,-11,21,22,17
2017,22,Stoke City,20,-24,23,22,18
2017,22,West Brom,16,-14,16,22,19
2017,22,Swansea,16,-21,13,22,20
2017,23,Manchester City,62,50,67,23,1
2017,23,Manchester United,50,32,48,23,2
2017,23,Liverpool,47,26,54,23,3
2017,23,Chelsea,47,25,41,23,4
2017,23,Tottenham,44,25,46,23,5
2017,23,Arsenal,39,11,41,23,6
2017,23,Burnley,34,-1,19,23,7
2017,23,Leicester,31,2,34,23,8
2017,23,Everton,27,-13,25,23,9
2017,23,Watford,26,-9,33,23,10
2017,23,West Ham,25,-12,29,23,11
2017,23,Crystal Palace,25,-12,21,23,12
2017,23,Bournemouth,24,-11,24,23,13
2017,23,Huddersfield,24,-20,19,23,14
2017,23,Newcastle,23,-10,21,23,15
2017,23,Brighton,23,-12,17,23,16
2017,23,Southampton,21,-11,23,23,17
2017,23,Stoke City,20,-27,23,23,18
2017,23,West Brom,19,-12,18,23,19
2017,23,Swansea,17,-21,14,23,20
2017,24,Manchester City,65,52,70,24,1
2017,24,Manchester United,53,33,49,24,2
2017,24,Chelsea,50,29,45,24,3
2017,24,Liverpool,47,25,54,24,4
2017,24,Tottenham,45,25,47,24,5
2017,24,Arsenal,42,14,45,24,6
2017,24,Leicester,34,4,36,24,7
2017,24,Burnley,34,-2,19,24,8
2017,24,Everton,28,-13,26,24,9
2017,24,Watford,26,-11,33,24,10
2017,24,West Ham,26,-12,30,24,11
2017,24,Bournemouth,25,-11,25,24,12
2017,24,Crystal Palace,25,-15,22,24,13
2017,24,Huddersfield,24,-22,19,24,14
2017,24,Newcastle,23,-12,22,24,15
2017,24,Brighton,23,-16,17,24,16
2017,24,Stoke City,23,-25,25,24,17
2017,24,Southampton,22,-11,24,24,18
2017,24,West Brom,20,-12,19,24,19
2017,24,Swansea,20,-20,15,24,20
2017,25,Manchester City,68,55,73,25,1
2017,25,Manchester United,53,31,49,25,2
2017,25,Liverpool,50,28,57,25,3
2017,25,Chelsea,50,26,45,25,4
2017,25,Tottenham,48,27,49,25,5
2017,25,Arsenal,42,12,46,25,6
2017,25,Burnley,35,-2,20,25,7
2017,25,Leicester,34,3,37,25,8
2017,25,Everton,31,-12,28,25,9
2017,25,Bournemouth,28,-8,28,25,10
2017,25,Watford,27,-11,33,25,11
2017,25,West Ham,27,-12,31,25,12
2017,25,Crystal Palace,26,-15,23,25,13
2017,25,Newcastle,24,-12,23,25,14
2017,25,Brighton,24,-16,18,25,15
2017,25,Stoke City,24,-25,25,25,16
2017,25,Huddersfield,24,-25,19,25,17
2017,25,Southampton,23,-11,25,25,18
2017,25,Swansea,23,-18,18,25,19
2017,25,West Brom,20,-15,19,25,20
2017,26,Manchester City,69,55,74,26,1
2017,26,Manchester United,56,33,51,26,2
2017,26,Liverpool,51,28,59,26,3
2017,26,Chelsea,50,23,46,26,4
2017,26,Tottenham,49,27,51,26,5
2017,26,Arsenal,45,16,51,26,6
2017,26,Burnley,36,-2,21,26,7
2017,26,Leicester,35,3,38,26,8
2017,26,Bournemouth,31,-7,30,26,9
2017,26,Everton,31,-16,29,26,10
2017,26,Watford,30,-8,37,26,11
2017,26,West Ham,27,-14,32,26,12
2017,26,Brighton,27,-14,21,26,13
2017,26,Crystal Palace,27,-15,24,26,14
2017,26,Southampton,26,-10,28,26,15
2017,26,Newcastle,25,-12,24,26,16
2017,26,Swansea,24,-18,19,26,17
2017,26,Stoke City,24,-26,26,26,18
2017,26,Huddersfield,24,-27,19,26,19
2017,26,West Brom,20,-16,21,26,20
2017,27,Manchester City,72,59,79,27,1
2017,27,Manchester United,56,32,51,27,2
2017,27,Liverpool,54,30,61,27,3
2017,27,Chelsea,53,26,49,27,4
2017,27,Tottenham,52,28,52,27,5
2017,27,Arsenal,45,15,51,27,6
2017,27,Burnley,36,-3,21,27,7
2017,27,Leicester,35,-1,39,27,8
2017,27,Everton,34,-14,32,27,9
2017,27,Bournemouth,31,-10,31,27,10
2017,27,Watford,30,-10,37,27,11
2017,27,West Ham,30,-12,34,27,12
2017,27,Newcastle,28,-11,25,27,13
2017,27,Brighton,28,-14,22,27,14
2017,27,Crystal Palace,27,-17,25,27,15
2017,27,Swansea,27,-17,20,27,16
2017,27,Huddersfield,27,-24,23,27,17
2017,27,Southampton,26,-12,28,27,18
2017,27,Stoke City,25,-26,27,27,19
2017,27,West Brom,20,-19,21,27,20
2017,28,Manchester City,75,62,82,28,1
2017,28,Manchester United,59,33,53,28,2
2017,28,Liverpool,57,33,65,28,3
2017,28,Tottenham,55,29,53,28,4
2017,28,Chelsea,53,25,50,28,5
2017,28,Arsenal,45,12,51,28,6
2017,28,Burnley,37,-3,22,28,7
2017,28,Leicester,36,-1,40,28,8
2017,28,Everton,34,-15,32,28,9
2017,28,Watford,33,-9,38,28,10
2017,28,Bournemouth,32,-10,33,28,11
2017,28,Brighton,31,-11,26,28,12
2017,28,West Ham,30,-15,35,28,13
2017,28,Huddersfield,30,-23,25,28,14
2017,28,Newcastle,29,-11,27,28,15
2017,28,Southampton,27,-12,29,28,16
2017,28,Crystal Palace,27,-18,25,28,17
2017,28,Swansea,27,-20,21,28,18
2017,28,Stoke City,26,-26,28,28,19
2017,28,West Brom,20,-20,22,28,20
2017,29,Manchester City,78,63,83,29,1
2017,29,Manchester United,62,34,56,29,2
2017,29,Liverpool,60,35,67,29,3
2017,29,Tottenham,58,31,55,29,4
2017,29,Chelsea,53,24,50,29,5
2017,29,Arsenal,45,11,52,29,6
2017,29,Burnley,40,-2,24,29,7
2017,29,Leicester,37,-1,41,29,8
2017,29,Watford,36,-8,39,29,9
2017,29,Brighton,34,-10,28,29,10
2017,29,Everton,34,-16,33,29,11
2017,29,Bournemouth,33,-10,34,29,12
2017,29,Swansea,30,-17,25,29,13
2017,29,West Ham,30,-18,36,29,14
2017,29,Huddersfield,30,-25,25,29,15
2017,29,Newcastle,29,-13,27,29,16
2017,29,Southampton,28,-12,29,29,17
2017,29,Crystal Palace,27,-19,27,29,18
2017,29,Stoke City,27,-26,28,29,19
2017,29,West Brom,20,-21,22,29,20
2017,30,Manchester City,81,65,85,30,1
2017,30,Manchester United,65,35,58,30,2
2017,30,Tottenham,61,34,59,30,3
2017,30,Liverpool,60,34,68,30,4
2017,30,Chelsea,56,25,52,30,5
2017,30,Arsenal,48,14,55,30,6
2017,30,Burnley,43,1,27,30,7
2017,30,Leicester,40,2,45,30,8
2017,30,Everton,37,-14,35,30,9
2017,30,Watford,36,-11,39,30,10
2017,30,Brighton,34,-12,28,30,11
2017,30,Bournemouth,33,-13,35,30,12
2017,30,Newcastle,32,-10,30,30,13
2017,30,Swansea,31,-17,25,30,14
2017,30,Huddersfield,31,-25,25,30,15
2017,30,West Ham,30,-21,36,30,16
2017,30,Southampton,28,-15,29,30,17
2017,30,Crystal Palace,27,-20,28,30,18
2017,30,Stoke City,27,-28,28,30,19
2017,30,West Brom,20,-24,23,30,20
2017,31,Manchester City,81,65,85,30,1
2017,31,Manchester United,68,37,60,31,2
2017,31,Liverpool,66,40,75,32,3
2017,31,Tottenham,61,34,59,30,4
2017,31,Chelsea,56,25,52,30,5
2017,31,Arsenal,48,14,55,30,6
2017,31,Burnley,46,2,29,31,7
2017,31,Leicester,43,4,47,31,8
2017,31,Everton,40,-13,37,31,9
2017,31,Bournemouth,37,-12,39,32,10
2017,31,Watford,37,-16,41,32,11
2017,31,Brighton,34,-14,28,31,12
2017,31,West Ham,33,-18,39,31,13
2017,31,Newcastle,32,-10,30,30,14
2017,31,Swansea,31,-19,25,31,15
2017,31,Huddersfield,31,-27,25,31,16
2017,31,Crystal Palace,30,-19,31,32,17
2017,31,Southampton,28,-18,29,31,18
2017,31,Stoke City,27,-29,29,31,19
2017,31,West Brom,20,-26,25,32,20
2017,32,Manchester City,84,67,88,31,1
2017,32,Manchester United,68,37,60,31,2
2017,32,Liverpool,67,40,75,33,3
2017,32,Tottenham,67,37,64,32,4
2017,32,Chelsea,56,23,53,31,5
2017,32,Arsenal,51,17,58,31,6
2017,32,Burnley,46,2,29,31,7
2017,32,Leicester,43,3,48,32,8
2017,32,Everton,41,-15,38,33,9
2017,32,Newcastle,38,-8,33,32,10
2017,32,Bournemouth,38,-12,41,33,11
2017,32,Watford,37,-16,41,32,12
2017,32,Brighton,35,-14,29,32,13
2017,32,West Ham,33,-18,39,31,14
2017,32,Swansea,32,-19,26,32,15
2017,32,Huddersfield,32,-28,26,33,16
2017,32,Crystal Palace,31,-19,33,33,17
2017,32,Southampton,28,-18,29,31,18
2017,32,Stoke City,27,-33,30,33,19
2017,32,West Brom,21,-26,26,33,20
2017,33,Manchester City,84,66,90,32,1
2017,33,Manchester United,71,38,63,32,2
2017,33,Liverpool,70,43,78,34,3
2017,33,Tottenham,67,37,64,32,4
2017,33,Chelsea,60,24,57,33,5
2017,33,Arsenal,54,18,61,32,6
2017,33,Burnley,52,4,33,33,7
2017,33,Leicester,43,2,49,33,8
2017,33,Everton,42,-15,39,34,9
2017,33,Newcastle,38,-8,33,32,10
2017,33,Bournemouth,38,-15,41,34,11
2017,33,Watford,37,-18,42,34,12
2017,33,Brighton,35,-15,31,33,13
2017,33,Huddersfield,35,-27,27,34,14
2017,33,West Ham,34,-18,40,32,15
2017,33,Crystal Palace,34,-18,36,34,16
