Season,Matchday,Team,Points,GD,GF,MP,Rank
2017,1,Manchester United,3,4,4,1,1
2017,1,Huddersfield,3,3,3,1,2
2017,1,Manchester City,3,2,2,1,3
2017,1,Tottenham,3,2,2,1,4
2017,1,Arsenal,3,1,4,1,5
2017,1,Burnley,3,1,3,1,6
2017,1,Everton,3,1,1,1,7
2017,1,West Brom,3,1,1,1,8
2017,1,Watford,1,0,3,1,9
2017,1,Liverpool,1,0,3,1,10
2017,1,Southampton,1,0,0,1,11
2017,1,Swansea,1,0,0,1,12
2017,1,Leicester,0,-1,3,1,13
2017,1,Chelsea,0,-1,2,1,14
2017,1,Stoke City,0,-1,0,1,15
2017,1,Bournemouth,0,-1,0,1,16
2017,1,Brighton,0,-2,0,1,17
2017,1,Newcastle,0,-2,0,1,18
2017,1,Crystal Palace,0,-3,0,1,19
2017,1,West Ham,0,-4,0,1,20
2017,2,Manchester United,6,8,8,2,1
2017,2,Huddersfield,6,4,4,2,2
2017,2,West Brom,6,2,2,2,3
2017,2,Watford,4,2,5,2,4
2017,2,Manchester City,4,2,3,2,5
2017,2,Liverpool,4,1,4,2,6
2017,2,Southampton,4,1,3,2,7
2017,2,Everton,4,1,2,2,8
2017,2,Leicester,3,1,5,2,9
2017,2,Tottenham,3,1,3,2,10
2017,2,Arsenal,3,0,4,2,11
2017,2,Chelsea,3,0,4,2,12
2017,2,Burnley,3,0,3,2,13
2017,2,Stoke City,3,0,1,2,14
2017,2,Swansea,1,-4,0,2,15
2017,2,Bournemouth,0,-3,0,2,16
2017,2,Newcastle,0,-3,0,2,17
2017,2,Crystal Palace,0,-4,0,2,18
2017,2,Brighton,0,-4,0,2,19
2017,2,West Ham,0,-5,2,2,20
2017,3,Manchester United,9,10,10,3,1
2017,3,Liverpool,7,5,8,3,2
2017,3,Huddersfield,7,4,4,3,3
2017,3,Manchester City,7,3,5,3,4
2017,3,West Brom,7,2,3,3,5
2017,3,Chelsea,6,2,6,3,6
2017,3,Watford,5,2,5,3,7
2017,3,Southampton,5,1,3,3,8
2017,3,Tottenham,4,1,4,3,9
2017,3,Burnley,4,0,4,3,10
2017,3,Stoke City,4,0,2,3,11
2017,3,Everton,4,-1,2,3,12
2017,3,Swansea,4,-2,2,3,13
2017,3,Newcastle,3,0,3,3,14
2017,3,Leicester,3,-1,5,3,15
2017,3,Arsenal,3,-4,4,3,16
2017,3,Brighton,1,-4,0,3,17
2017,3,Bournemouth,0,-4,1,3,18
2017,3,Crystal Palace,0,-6,0,3,19
2017,3,West Ham,0,-8,2,3,20
2017,4,Manchester United,10,10,12,4,1
2017,4,Manchester City,10,8,10,4,2
2017,4,Chelsea,9,3,8,4,3
2017,4,Watford,8,4,7,4,4
2017,4,Tottenham,7,4,7,4,5
2017,4,Huddersfield,7,2,4,4,6
2017,4,Burnley,7,1,5,4,7
2017,4,Liverpool,7,0,8,4,8
2017,4,West Brom,7,0,4,4,9
2017,4,Newcastle,6,1,4,4,10
2017,4,Arsenal,6,-1,7,4,11
2017,4,Stoke City,5,0,4,4,12
2017,4,Southampton,5,-1,3,4,13
2017,4,Brighton,4,-2,3,4,14
2017,4,Swansea,4,-3,2,4,15
2017,4,Everton,4,-4,2,4,16
2017,4,Leicester,3,-2,6,4,17
2017,4,West Ham,3,-6,4,4,18
2017,4,Bournemouth,0,-7,1,4,19
2017,4,Crystal Palace,0,-7,0,4,20
2017,5,Manchester City,13,14,16,5,1
2017,5,Manchester United,13,14,16,5,2
2017,5,Chelsea,10,3,8,5,3
2017,5,Newcastle,9,2,6,5,4
2017,5,Tottenham,8,4,7,5,5
2017,5,Huddersfield,8,2,5,5,6
2017,5,Burnley,8,1,6,5,7
2017,5,Liverpool,8,0,9,5,8
2017,5,Southampton,8,0,4,5,9
2017,5,West Brom,8,0,4,5,10
2017,5,Watford,8,-2,7,5,11
2017,5,Arsenal,7,-1,7,5,12
2017,5,Stoke City,5,-1,5,5,13
2017,5,Swansea,5,-3,2,5,14
2017,5,Leicester,4,-2,7,5,15
2017,5,Brighton,4,-3,4,5,16
2017,5,West Ham,4,-6,4,5,17
2017,5,Everton,4,-8,2,5,18
2017,5,Bournemouth,3,-6,3,5,19
2017,5,Crystal Palace,0,-8,0,5,20
2017,6,Manchester City,16,19,21,6,1
2017,6,Manchester United,16,15,17,6,2
2017,6,Chelsea,13,7,12,6,3
2017,6,Tottenham,11,5,10,6,4
2017,6,Liverpool,11,1,12,6,5
2017,6,Watford,11,-1,9,6,6
2017,6,Arsenal,10,1,9,6,7
2017,6,Huddersfield,9,2,5,6,8
2017,6,Burnley,9,1,6,6,9
2017,6,Newcastle,9,1,6,6,10
2017,6,Southampton,8,-1,4,6,11
2017,6,West Brom,8,-2,4,6,12
2017,6,Brighton,7,-2,5,6,13
2017,6,Everton,7,-7,4,6,14
2017,6,Swansea,5,-4,3,6,15
2017,6,Stoke City,5,-5,5,6,16
2017,6,Leicester,4,-3,9,6,17
2017,6,West Ham,4,-7,6,6,18
2017,6,Bournemouth,3,-7,4,6,19
2017,6,Crystal Palace,0,-13,0,6,20
2017,7,Manchester City,19,20,22,7,1
2017,7,Manchester United,19,19,21,7,2
2017,7,Tottenham,14,9,14,7,3
2017,7,Chelsea,13,6,12,7,4
2017,7,Arsenal,13,3,11,7,5
2017,7,Burnley,12,2,7,7,6
2017,7,Liverpool,12,1,13,7,7
2017,7,Watford,12,-1,11,7,8
2017,7,Newcastle,10,1,7,7,9
2017,7,West Brom,9,-2,6,7,12
2017,7,Huddersfield,9,-2,5,7,11
2017,7,Southampton,8,-2,5,7,12
2017,7,Stoke City,8,-4,7,7,13
2017,7,Brighton,7,-4,5,7,14
2017,7,West Ham,7,-6,7,7,15
2017,7,Everton,7,-8,4,7,16
2017,7,Leicester,5,-3,9,7,17
2017,7,Swansea,5,-5,3,7,18
2017,7,Bournemouth,4,-7,4,7,19
2017,7,Crystal Palace,0,-17,0,7,20
2017,8,Manchester City,22,25,29,8,1
2017,8,Manchester United,20,19,21,8,2
2017,8,Tottenham,17,10,15,8,3
2017,8,Watford,15,0,13,8,4
2017,8,Chelsea,13,5,13,8,5
2017,8,Arsenal,13,2,12,8,6
2017,8,Burnley,13,2,8,8,7
2017,8,Liverpool,13,1,13,8,8
2017,8,Newcastle,11,1,9,8,9
2017,8,West Brom,10,-2,7,8,10
2017,8,Southampton,9,-2,7,8,11
2017,8,Huddersfield,9,-4,5,8,12
2017,8,Swansea,8,-3,5,8,13
2017,8,Brighton,8,-4,6,8,14
2017,8,West Ham,8,-6,8,8,15
2017,8,Everton,8,-8,5,8,16
2017,8,Stoke City,8,-9,9,8,17
2017,8,Leicester,6,-3,10,8,18
2017,8,Bournemouth,4,-8,4,8,19
2017,8,Crystal Palace,3,-16,2,8,20
2017,9,Manchester City,25,28,32,9,1
2017,9,Manchester United,20,18,22,9,2
2017,9,Tottenham,20,13,19,9,3
2017,9,Chelsea,16,7,17,9,4
2017,9,Arsenal,16,5,17,9,5
2017,9,Watford,15,-2,15,9,6
2017,9,Newcastle,14,2,10,9,7
2017,9,Burnley,13,-1,8,9,8
2017,9,Liverpool,13,-2,14,9,9
2017,9,Southampton,12,-1,8,9,10
2017,9,Huddersfield,12,-3,7,9,11
2017,9,Brighton,11,-1,9,9,12
2017,9,West Brom,10,-3,7,9,13
2017,9,Leicester,9,-2,12,9,14
2017,9,Swansea,8,-4,6,9,15
2017,9,West Ham,8,-9,8,9,16
2017,9,Stoke City,8,-10,10,9,17
2017,9,Everton,8,-11,7,9,18
2017,9,Bournemouth,7,-7,6,9,19
2017,9,Crystal Palace,3,-17,2,9,20
2017,10,Manchester City,28,29,35,10,1
2017,10,Manchester United,23,19,23,10,2
2017,10,Tottenham,20,12,19,10,3
2017,10,Chelsea,19,8,18,10,4
2017,10,Arsenal,19,6,19,10,5
2017,10,Liverpool,16,1,17,10,6
2017,10,Burnley,16,0,9,10,7
2017,10,Watford,15,-3,15,10,8
2017,10,Newcastle,14,1,10,10,9
2017,10,Southampton,13,-1,9,10,10
2017,10,Leicester,12,0,14,10,11
2017,10,Brighton,12,-1,10,10,12
2017,10,Huddersfield,12,-6,7,10,13
2017,10,Stoke City,11,-9,11,10,14
2017,10,West Brom,10,-4,9,10,15
2017,10,West Ham,9,-9,10,10,16
2017,10,Swansea,8,-5,7,10,17
2017,10,Everton,8,-13,7,10,18
2017,10,Bournemouth,7,-8,6,10,19
2017,10,Crystal Palace,4,-17,4,10,20
2017,11,Manchester City,31,31,38,11,1
2017,11,Manchester United,23,18,23,11,2
2017,11,Tottenham,23,13,20,11,3
2017,11,Chelsea,22,9,19,11,4
2017,11,Liverpool,19,4,21,11,5
2017,11,Arsenal,19,4,20,11,6
2017,11,Burnley,19,1,10,11,7
2017,11,Brighton,15,0,11,11,8
2017,11,Watford,15,-4,17,11,9
2017,11,Huddersfield,15,-5,8,11,10
2017,11,Newcastle,14,0,10,11,11
2017,11,Leicester,13,0,16,11,12
2017,11,Southampton,13,-2,9,11,13
2017,11,Stoke City,12,-9,13,11,14
2017,11,Everton,11,-12,10,11,15
2017,11,West Brom,10,-5,9,11,16
2017,11,Bournemouth,10,-7,7,11,17
