Season,Matchday,Team,Points,GD,GF,MP,Rank
2019,1,Manchester City,3,5,5,1,1
2019,1,Manchester United,3,4,4,1,2
2019,1,Liverpool,3,3,4,1,3
2019,1,Brighton,3,3,3,1,4
2019,1,Burnley,3,3,3,1,5
2019,1,Tottenham,3,2,3,1,6
2019,1,Arsenal,3,1,1,1,7
2019,1,Bournemouth,1,0,1,1,8
2019,1,Sheffield Utd,1,0,1,1,9
2019,1,Crystal Palace,1,0,0,1,10
2019,1,Everton,1,0,0,1,11
2019,1,Leicester,1,0,0,1,12
2019,1,Wolves,1,0,0,1,13
2019,1,Newcastle,0,-1,0,1,14
2019,1,Aston Villa,0,-2,1,1,15
2019,1,Norwich,0,-3,1,1,16
2019,1,Watford,0,-3,0,1,17
2019,1,Southampton,0,-3,0,1,18
2019,1,Chelsea,0,-4,0,1,19
2019,1,West Ham,0,-5,0,1,20
2019,2,Liverpool,6,4,6,2,1
2019,2,Arsenal,6,2,3,2,2
2019,2,Manchester City,4,5,7,2,3
2019,2,Manchester United,4,4,5,2,4
2019,2,Brighton,4,3,4,2,5
2019,2,Tottenham,4,2,5,2,6
2019,2,Bournemouth,4,1,3,2,7
2019,2,Sheffield Utd,4,1,2,2,8
2019,2,Everton,4,1,1,2,9
2019,2,Burnley,3,2,4,2,10
2019,2,Norwich,3,-1,4,2,11
2019,2,Leicester,2,0,1,2,12
2019,2,Wolves,2,0,1,2,13
2019,2,Crystal Palace,1,-1,0,2,14
2019,2,Chelsea,1,-4,1,2,15
2019,2,West Ham,1,-5,1,2,16
2019,2,Aston Villa,0,-3,2,2,17
2019,2,Newcastle,0,-3,1,2,18
2019,2,Southampton,0,-4,1,2,19
2019,2,Watford,0,-4,0,2,20
2019,3,Liverpool,9,6,9,3,1
2019,3,Manchester City,7,7,10,3,2
2019,3,Arsenal,6,0,4,3,3
2019,3,Leicester,5,1,3,3,4
2019,3,Manchester United,4,3,6,3,5
2019,3,Burnley,4,2,5,3,6
2019,3,Tottenham,4,1,5,3,7
2019,3,Brighton,4,1,4,3,8
2019,3,Sheffield Utd,4,0,3,3,9
2019,3,Crystal Palace,4,0,2,3,10
2019,3,Bournemouth,4,-1,4,3,11
2019,3,Everton,4,-1,1,3,12
2019,3,West Ham,4,-3,4,3,13
2019,3,Chelsea,4,-3,4,3,14
2019,3,Wolves,3,0,2,3,15
2019,3,Aston Villa,3,-1,4,3,16
2019,3,Norwich,3,-2,6,3,17
2019,3,Southampton,3,-2,3,3,18
2019,3,Newcastle,3,-2,2,3,19
