Season,Matchday,Team,Points,GD,GF,MP,Rank
2019,3,Watford,0,-6,1,3,20
2019,4,Liverpool,12,9,12,4,1
2019,4,Manchester City,10,11,14,4,2
2019,4,Leicester,8,3,6,4,3
2019,4,Crystal Palace,7,1,3,4,4
2019,4,Arsenal,7,0,6,4,5
2019,4,Everton,7,0,4,4,6
2019,4,West Ham,7,-1,6,4,7
2019,4,Manchester United,5,3,7,4,8
2019,4,Tottenham,5,1,7,4,9
2019,4,Sheffield Utd,5,0,5,4,10
2019,4,Chelsea,5,-3,6,4,11
2019,4,Burnley,4,-1,5,4,12
2019,4,Southampton,4,-2,4,4,13
2019,4,Newcastle,4,-2,3,4,14
2019,4,Bournemouth,4,-3,5,4,15
2019,4,Brighton,4,-3,4,4,16
2019,4,Wolves,3,-1,4,4,17
2019,4,Aston Villa,3,-2,4,4,18
2019,4,Norwich,3,-4,6,4,19
2019,4,Watford,1,-6,2,4,20
2019,5,Liverpool,15,11,15,5,1
2019,5,Manchester City,10,10,16,5,2
2019,5,Tottenham,8,5,11,5,3
2019,5,Manchester United,8,4,8,5,4
2019,5,Leicester,8,2,6,5,5
2019,5,Chelsea,8,0,11,5,6
2019,5,Arsenal,8,0,8,5,7
2019,5,West Ham,8,-1,6,5,8
2019,5,Bournemouth,7,-1,8,5,9
2019,5,Southampton,7,-1,5,5,10
2019,5,Everton,7,-2,5,5,11
2019,5,Crystal Palace,7,-3,3,5,12
2019,5,Norwich,6,-3,9,5,13
2019,5,Burnley,5,-1,6,5,14
2019,5,Sheffield Utd,5,-1,5,5,15
2019,5,Brighton,5,-3,5,5,16
2019,5,Aston Villa,4,-2,4,5,17
2019,5,Newcastle,4,-4,4,5,18
2019,5,Wolves,3,-4,6,5,19
2019,5,Watford,2,-6,4,5,20
2019,6,Liverpool,18,12,17,6,1
2019,6,Manchester City,13,18,24,6,2
2019,6,Leicester,11,3,8,6,3
2019,6,Arsenal,11,1,11,6,4
2019,6,West Ham,11,1,8,6,5
2019,6,Bournemouth,10,1,11,6,6
2019,6,Tottenham,8,4,12,6,7
2019,6,Manchester United,8,2,8,6,8
2019,6,Burnley,8,1,8,6,9
2019,6,Sheffield Utd,8,1,7,6,10
2019,6,Chelsea,8,-1,12,6,11
2019,6,Crystal Palace,8,-3,4,6,12
2019,6,Southampton,7,-3,6,6,13
2019,6,Everton,7,-4,5,6,14
2019,6,Brighton,6,-3,5,6,15
2019,6,Norwich,6,-5,9,6,16
2019,6,Newcastle,5,-4,4,6,17
2019,6,Aston Villa,4,-3,6,6,18
2019,6,Wolves,4,-4,7,6,19
2019,6,Watford,2,-14,4,6,20
2019,7,Liverpool,21,13,18,7,1
2019,7,Manchester City,16,20,27,7,2
2019,7,Leicester,14,8,13,7,3
2019,7,Arsenal,12,1,12,7,4
2019,7,West Ham,12,1,10,7,5
2019,7,Tottenham,11,5,14,7,6
2019,7,Chelsea,11,1,14,7,7
2019,7,Bournemouth,11,1,13,7,8
2019,7,Crystal Palace,11,-1,6,7,9
2019,7,Manchester United,9,2,9,7,10
2019,7,Burnley,9,1,10,7,11
2019,7,Sheffield Utd,8,0,7,7,12
2019,7,Wolves,7,-2,9,7,13
2019,7,Southampton,7,-4,7,7,14
2019,7,Everton,7,-6,6,7,15
2019,7,Brighton,6,-5,5,7,16
2019,7,Norwich,6,-7,9,7,17
2019,7,Aston Villa,5,-3,8,7,18
2019,7,Newcastle,5,-9,4,7,19
2019,7,Watford,2,-16,4,7,20
2019,8,Liverpool,24,14,20,8,1
2019,8,Manchester City,16,18,27,8,2
2019,8,Arsenal,15,2,13,8,3
2019,8,Leicester,14,7,14,8,4
2019,8,Chelsea,14,4,18,8,5
2019,8,Crystal Palace,14,0,8,8,6
2019,8,Burnley,12,2,11,8,7
2019,8,West Ham,12,0,11,8,8
2019,8,Tottenham,11,2,14,8,9
2019,8,Bournemouth,11,0,13,8,10
2019,8,Wolves,10,0,11,8,11
2019,8,Manchester United,9,1,9,8,12
2019,8,Sheffield Utd,9,0,7,8,13
2019,8,Brighton,9,-2,8,8,14
2019,8,Aston Villa,8,1,13,8,15
2019,8,Newcastle,8,-8,5,8,16
2019,8,Southampton,7,-7,8,8,17
2019,8,Everton,7,-7,6,8,18
2019,8,Norwich,6,-11,10,8,19
2019,8,Watford,3,-16,4,8,20
2019,9,Liverpool,25,14,21,9,1
2019,9,Manchester City,19,20,29,9,2
2019,9,Leicester,17,8,16,9,3
2019,9,Chelsea,17,5,19,9,4
2019,9,Arsenal,15,1,13,9,5
2019,9,Crystal Palace,14,-2,8,9,6
2019,9,Tottenham,12,2,15,9,7
2019,9,Burnley,12,1,12,9,8
2019,9,Sheffield Utd,12,1,8,9,9
2019,9,Bournemouth,12,0,13,9,10
2019,9,West Ham,12,-2,11,9,11
2019,9,Aston Villa,11,2,15,9,12
2019,9,Wolves,11,0,12,9,13
2019,9,Manchester United,10,1,10,9,14
2019,9,Everton,10,-5,8,9,15
2019,9,Brighton,9,-3,9,9,16
2019,9,Southampton,8,-7,9,9,17
2019,9,Newcastle,8,-9,5,9,18
2019,9,Norwich,7,-11,10,9,19
2019,9,Watford,4,-16,5,9,20
2019,10,Liverpool,28,15,23,10,1
2019,10,Manchester City,22,23,32,10,2
2019,10,Leicester,20,17,25,10,3
2019,10,Chelsea,20,7,23,10,4
2019,10,Arsenal,16,1,15,10,5
2019,10,Crystal Palace,15,-2,10,10,6
2019,10,Manchester United,13,3,13,10,7
2019,10,Sheffield Utd,13,1,9,10,8
2019,10,Bournemouth,13,0,13,10,9
2019,10,West Ham,13,-2,12,10,10
2019,10,Tottenham,12,1,16,10,11
2019,10,Wolves,12,0,13,10,12
2019,10,Burnley,12,-1,14,10,13
2019,10,Brighton,12,-2,12,10,14
2019,10,Aston Villa,11,-1,15,10,15
2019,10,Everton,10,-6,10,10,16
2019,10,Newcastle,9,-9,6,10,17
2019,10,Southampton,8,-16,9,10,18
2019,10,Norwich,7,-13,11,10,19
2019,10,Watford,5,-16,5,10,20
2019,11,Liverpool,31,16,25,11,1
2019,11,Manchester City,25,24,34,11,2
2019,11,Leicester,23,19,27,11,3
2019,11,Chelsea,23,8,25,11,4
2019,11,Arsenal,17,1,16,11,5
2019,11,Sheffield Utd,16,4,12,11,6
2019,11,Bournemouth,16,1,14,11,7
2019,11,Brighton,15,0,14,11,8
2019,11,Crystal Palace,15,-4,10,11,9
2019,11,Manchester United,13,2,13,11,10
2019,11,Tottenham,13,1,17,11,11
2019,11,Wolves,13,0,14,11,12
2019,11,West Ham,13,-3,14,11,13
2019,11,Burnley,12,-4,14,11,14
2019,11,Newcastle,12,-8,9,11,15
2019,11,Aston Villa,11,-2,16,11,16
2019,11,Everton,11,-6,11,11,17
2019,11,Southampton,8,-17,10,11,18
2019,11,Norwich,7,-15,11,11,19
2019,11,Watford,5,-17,6,11,20
2019,12,Liverpool,34,18,28,12,1
2019,12,Leicester,26,21,29,12,2
2019,12,Chelsea,26,10,27,12,3
2019,12,Manchester City,25,22,35,12,4
2019,12,Sheffield Utd,17,4,13,12,5
2019,12,Arsenal,17,-1,16,12,6
2019,12,Manchester United,16,4,16,12,7
2019,12,Wolves,16,1,16,12,8
2019,12,Bournemouth,16,0,15,12,9
2019,12,Burnley,15,-1,17,12,10
2019,12,Brighton,15,-2,15,12,11
2019,12,Crystal Palace,15,-6,10,12,12
2019,12,Newcastle,15,-7,11,12,13
2019,12,Tottenham,14,1,18,12,14
2019,12,Everton,14,-5,13,12,15
2019,12,West Ham,13,-6,14,12,16
2019,12,Aston Villa,11,-3,17,12,17
2019,12,Watford,8,-15,8,12,18
2019,12,Southampton,8,-18,11,12,19
2019,12,Norwich,7,-17,11,12,20
2019,13,Liverpool,37,19,30,13,1
2019,13,Leicester,29,23,31,13,2
2019,13,Manchester City,28,23,37,13,3
2019,13,Chelsea,26,9,28,13,4
2019,13,Wolves,19,2,18,13,5
2019,13,Sheffield Utd,18,4,16,13,6
2019,13,Burnley,18,2,20,13,7
2019,13,Arsenal,18,-1,18,13,8
2019,13,Manchester United,17,4,19,13,9
2019,13,Tottenham,17,2,21,13,10
2019,13,Bournemouth,16,-1,16,13,11
2019,13,Brighton,15,-4,15,13,12
2019,13,Crystal Palace,15,-7,11,13,13
2019,13,Newcastle,15,-9,11,13,14
2019,13,Aston Villa,14,-1,19,13,15
2019,13,Everton,14,-7,13,13,16
2019,13,West Ham,13,-7,16,13,17
2019,13,Norwich,10,-15,13,13,18
2019,13,Southampton,9,-18,13,13,19
2019,13,Watford,8,-18,8,13,20
2019,14,Liverpool,40,20,32,14,1
2019,14,Leicester,32,24,33,14,2
2019,14,Manchester City,29,23,39,14,3
2019,14,Chelsea,26,8,28,14,4
2019,14,Tottenham,20,3,24,14,5
2019,14,Wolves,20,2,19,14,6
2019,14,Sheffield Utd,19,4,17,14,7
2019,14,Arsenal,19,-1,20,14,8
2019,14,Manchester United,18,4,21,14,9
2019,14,Burnley,18,0,20,14,10
2019,14,Crystal Palace,18,-5,13,14,11
2019,14,Bournemouth,16,-2,18,14,12
2019,14,West Ham,16,-6,17,14,13
2019,14,Newcastle,16,-9,13,14,14
2019,14,Aston Villa,15,-1,21,14,15
2019,14,Brighton,15,-5,16,14,16
2019,14,Everton,14,-8,14,14,17
2019,14,Southampton,12,-17,15,14,18
2019,14,Norwich,11,-15,15,14,19
2019,14,Watford,8,-19,9,14,20
2019,15,Liverpool,43,23,37,15,1
2019,15,Leicester,35,26,35,15,2
2019,15,Manchester City,32,26,43,15,3
2019,15,Chelsea,29,9,30,15,4
2019,15,Wolves,23,4,21,15,5
2019,15,Manchester United,21,5,23,15,6
2019,15,Crystal Palace,21,-4,14,15,7
2019,15,Tottenham,20,2,25,15,8
2019,15,Sheffield Utd,19,2,17,15,9
2019,15,Arsenal,19,-2,21,15,10
2019,15,Newcastle,19,-7,15,15,11
2019,15,Burnley,18,-3,21,15,12
2019,15,Brighton,18,-4,18,15,13
2019,15,Bournemouth,16,-3,18,15,14
2019,15,West Ham,16,-8,17,15,15
2019,15,Aston Villa,15,-2,22,15,16
2019,15,Southampton,15,-16,17,15,17
2019,15,Everton,14,-11,16,15,18
2019,15,Norwich,11,-16,16,15,19
2019,15,Watford,8,-21,9,15,20
2019,16,Liverpool,46,26,40,16,1
2019,16,Leicester,38,29,39,16,2
2019,16,Manchester City,32,25,44,16,3
2019,16,Chelsea,29,7,31,16,4
2019,16,Manchester United,24,6,25,16,5
2019,16,Wolves,24,4,23,16,6
2019,16,Tottenham,23,7,30,16,7
2019,16,Sheffield Utd,22,3,19,16,8
2019,16,Arsenal,22,0,24,16,9
2019,16,Crystal Palace,22,-4,14,16,10
2019,16,Newcastle,22,-6,17,16,11
2019,16,Brighton,19,-4,20,16,12
2019,16,Burnley,18,-8,21,16,13
2019,16,Everton,17,-9,19,16,14
2019,16,Bournemouth,16,-6,18,16,15
2019,16,West Ham,16,-10,18,16,16
2019,16,Aston Villa,15,-5,23,16,17
2019,16,Southampton,15,-17,18,16,18
2019,16,Norwich,11,-17,17,16,19
2019,16,Watford,9,-21,9,16,20
2019,17,Liverpool,49,28,42,17,1
2019,17,Leicester,39,29,40,17,2
2019,17,Manchester City,35,28,47,17,3
2019,17,Chelsea,29,6,31,17,4
2019,17,Tottenham,26,8,32,17,5
2019,17,Manchester United,25,6,26,17,6
2019,17,Sheffield Utd,25,5,21,17,7
2019,17,Wolves,24,3,24,17,8
2019,17,Crystal Palace,23,-4,15,17,9
2019,17,Arsenal,22,-3,24,17,10
2019,17,Newcastle,22,-7,17,17,11
2019,17,Burnley,21,-7,22,17,12
2019,17,Brighton,20,-4,21,17,13
2019,17,Bournemouth,19,-5,19,17,14
2019,17,West Ham,19,-9,19,17,15
2019,17,Everton,18,-9,20,17,16
2019,17,Aston Villa,15,-7,23,17,17
2019,17,Southampton,15,-18,18,17,18
2019,17,Norwich,12,-17,18,17,19
2019,17,Watford,9,-23,9,17,20
2019,18,Liverpool,49,28,42,17,1
2019,18,Leicester,39,27,41,18,2
2019,18,Manchester City,38,30,50,18,3
2019,18,Chelsea,32,8,33,18,4
2019,18,Tottenham,29,7,34,19,5
2019,18,Sheffield Utd,28,6,22,18,6
2019,18,Wolves,27,4,26,18,7
2019,18,Manchester United,25,4,26,18,8
2019,18,Newcastle,25,-6,18,18,9
2019,18,Burnley,24,-6,23,18,10
2019,18,Arsenal,23,-3,24,18,11
2019,18,Crystal Palace,23,-5,15,18,12
2019,18,Brighton,20,-6,22,19,13
2019,18,Bournemouth,19,-6,19,18,14
2019,18,Everton,19,-9,20,18,15
2019,18,West Ham,19,-9,19,17,16
2019,18,Southampton,18,-16,21,18,17
2019,18,Aston Villa,15,-9,24,18,18
2019,18,Norwich,12,-18,19,18,19
2019,18,Watford,12,-21,11,18,20
2019,19,Liverpool,52,32,46,18,1
2019,19,Leicester,39,23,41,19,2
2019,19,Manchester City,38,29,52,19,3
2019,19,Chelsea,32,6,33,19,4
2019,19,Wolves,30,5,29,19,5
2019,19,Tottenham,29,7,34,19,6
2019,19,Sheffield Utd,29,6,23,19,7
2019,19,Manchester United,28,7,30,19,8
2019,19,Crystal Palace,26,-4,17,19,9
2019,19,Newcastle,25,-9,19,19,10
2019,19,Arsenal,24,-3,25,19,11
2019,19,Burnley,24,-7,23,19,12
2019,19,Brighton,23,-4,24,20,13
2019,19,Everton,22,-8,21,19,14
2019,19,Southampton,21,-14,23,19,15
2019,19,Bournemouth,20,-8,20,20,16
2019,19,West Ham,19,-10,20,18,17
2019,19,Aston Villa,18,-8,25,19,18
2019,19,Watford,13,-21,12,19,19
2019,19,Norwich,12,-19,19,19,20
2019,20,Liverpool,55,33,47,19,1
2019,20,Leicester,42,24,43,20,2
2019,20,Manchester City,41,31,54,20,3
2019,20,Chelsea,35,7,35,20,4
2019,20,Manchester United,31,9,32,20,5
2019,20,Tottenham,30,7,36,20,6
2019,20,Wolves,30,4,29,20,7
2019,20,Sheffield Utd,29,4,23,20,8
2019,20,Crystal Palace,27,-4,18,20,9
2019,20,Everton,25,-7,23,20,10
2019,20,Newcastle,25,-10,20,20,11
2019,20,Arsenal,24,-4,26,20,12
2019,20,Burnley,24,-10,24,21,13
2019,20,Brighton,23,-4,24,20,14
2019,20,Southampton,22,-14,24,20,15
2019,20,Aston Villa,21,-10,27,21,16
2019,20,Bournemouth,20,-8,20,20,17
2019,20,West Ham,19,-11,21,19,18
2019,20,Watford,16,-18,15,20,19
2019,20,Norwich,13,-19,21,20,20
2019,21,Liverpool,58,35,49,20,1
2019,21,Leicester,45,27,46,21,2
2019,21,Manchester City,44,32,56,21,3
2019,21,Chelsea,36,7,36,21,4
2019,21,Sheffield Utd,32,3,24,22,5
2019,21,Manchester United,31,7,32,21,6
2019,21,Tottenham,30,6,36,21,7
2019,21,Wolves,30,3,30,21,8
2019,21,Crystal Palace,28,-4,19,21,9
2019,21,Arsenal,27,-2,28,21,10
2019,21,Everton,25,-8,24,21,11
2019,21,Southampton,25,-13,25,21,12
2019,21,Newcastle,25,-13,20,21,13
2019,21,Brighton,24,-4,25,21,14
2019,21,Burnley,24,-10,24,21,15
2019,21,West Ham,22,-8,25,21,16
2019,21,Aston Villa,21,-10,27,21,17
2019,21,Bournemouth,20,-12,20,21,18
2019,21,Watford,19,-17,17,21,19
2019,21,Norwich,14,-19,22,21,20
2019,22,Liverpool,61,36,50,21,1
2019,22,Manchester City,47,37,62,22,2
2019,22,Leicester,45,26,47,22,3
2019,22,Chelsea,39,10,39,22,4
2019,22,Manchester United,34,11,36,22,5
2019,22,Sheffield Utd,32,3,24,22,6
2019,22,Tottenham,31,5,36,23,7
2019,22,Wolves,31,3,31,22,8
2019,22,Crystal Palace,29,-4,20,22,9
2019,22,Arsenal,28,-2,29,22,10
2019,22,Everton,28,-7,25,22,11
2019,22,Southampton,28,-12,27,22,12
2019,22,Newcastle,26,-13,21,22,13
2019,22,Brighton,24,-5,25,22,14
2019,22,Burnley,24,-13,24,22,15
2019,22,Watford,23,-14,20,23,16
2019,22,West Ham,22,-8,25,21,17
2019,22,Aston Villa,21,-15,28,22,18
2019,22,Bournemouth,20,-15,20,22,19
2019,22,Norwich,14,-23,22,22,20
2019,23,Liverpool,64,38,52,22,1
2019,23,Manchester City,51,38,65,24,2
2019,23,Leicester,45,25,48,23,3
2019,23,Chelsea,39,9,39,23,4
2019,23,Manchester United,34,9,36,23,5
2019,23,Wolves,34,4,34,23,6
2019,23,Sheffield Utd,33,2,25,24,7
2019,23,Tottenham,31,5,36,23,8
2019,23,Crystal Palace,30,-4,22,23,9
2019,23,Arsenal,29,-2,30,23,10
2019,23,Everton,29,-7,26,23,11
2019,23,Newcastle,29,-12,22,23,12
2019,23,Southampton,28,-13,29,23,13
2019,23,Burnley,27,-12,26,23,14
2019,23,Brighton,25,-5,26,23,15
2019,23,West Ham,23,-8,26,22,16
2019,23,Watford,23,-14,20,23,17
2019,23,Aston Villa,22,-15,29,23,18
2019,23,Bournemouth,20,-16,20,23,19
2019,23,Norwich,17,-22,23,23,20
2019,24,Liverpool,70,41,56,24,1
2019,24,Manchester City,51,38,65,24,2
2019,24,Leicester,48,28,52,24,3
2019,24,Chelsea,40,9,41,24,4
2019,24,Manchester United,34,7,36,24,5
2019,24,Tottenham,34,6,38,24,6
2019,24,Wolves,34,3,35,24,7
2019,24,Sheffield Utd,33,2,25,24,8
2019,24,Southampton,31,-11,31,24,9
2019,24,Arsenal,30,-2,32,24,10
2019,24,Crystal Palace,30,-6,22,24,11
2019,24,Everton,30,-7,28,24,12
2019,24,Burnley,30,-10,28,24,13
2019,24,Newcastle,30,-12,24,24,14
2019,24,Brighton,25,-7,27,24,15
2019,24,Aston Villa,25,-14,31,24,16
2019,24,West Ham,23,-13,27,24,17
2019,24,Bournemouth,23,-14,23,24,18
2019,24,Watford,23,-15,21,24,19
2019,24,Norwich,17,-23,24,24,20
2019,25,Liverpool,73,45,60,25,1
2019,25,Manchester City,51,36,65,25,2
2019,25,Leicester,49,28,54,25,3
2019,25,Chelsea,41,9,43,25,4
2019,25,Tottenham,37,8,40,25,5
2019,25,Sheffield Utd,36,3,26,25,6
2019,25,Manchester United,35,7,36,25,7
2019,25,Wolves,35,3,35,25,8
2019,25,Everton,33,-6,31,25,9
2019,25,Arsenal,31,-2,32,25,10
2019,25,Burnley,31,-10,28,25,11
2019,25,Newcastle,31,-12,24,25,12
2019,25,Southampton,31,-15,31,25,13
2019,25,Crystal Palace,30,-7,22,25,14
2019,25,Brighton,26,-7,30,25,15
2019,25,Bournemouth,26,-13,25,25,16
2019,25,Aston Villa,25,-15,32,25,17
2019,25,West Ham,24,-13,30,25,18
2019,25,Watford,23,-16,23,25,19
2019,25,Norwich,18,-23,24,25,20
2019,26,Liverpool,76,46,61,26,1
2019,26,Manchester City,54,38,67,26,2
2019,26,Leicester,50,28,54,26,3
2019,26,Chelsea,41,7,43,26,4
2019,26,Tottenham,40,9,43,26,5
2019,26,Sheffield Utd,39,4,28,26,6
2019,26,Manchester United,38,9,38,26,7
2019,26,Wolves,36,3,35,26,8
2019,26,Everton,36,-4,34,26,9
2019,26,Arsenal,34,2,36,26,10
2019,26,Burnley,34,-9,30,26,11
2019,26,Southampton,31,-16,32,26,12
2019,26,Newcastle,31,-16,24,26,13
2019,26,Crystal Palace,30,-9,23,26,14
2019,26,Brighton,27,-7,31,26,15
2019,26,Bournemouth,26,-14,26,26,16
2019,26,Aston Villa,25,-16,34,26,17
2019,26,West Ham,24,-15,30,26,18
2019,26,Watford,24,-16,24,26,19
2019,26,Norwich,18,-24,24,26,20
2019,27,Liverpool,79,47,64,27,1
2019,27,Manchester City,57,39,68,27,2
2019,27,Leicester,50,27,54,27,3
2019,27,Chelsea,44,8,45,27,4
2019,27,Manchester United,41,12,41,27,5
2019,27,Tottenham,40,8,44,27,6
2019,27,Sheffield Utd,40,4,29,27,7
2019,27,Wolves,39,6,38,27,8
2019,27,Arsenal,37,3,39,27,9
2019,27,Burnley,37,-6,33,27,10
2019,27,Everton,36,-5,36,27,11
2019,27,Southampton,34,-14,34,27,12
2019,27,Crystal Palace,33,-8,24,27,13
2019,27,Newcastle,31,-17,24,27,14
2019,27,Brighton,28,-7,32,27,15
2019,27,Bournemouth,26,-17,26,27,16
2019,27,Aston Villa,25,-18,34,27,17
2019,27,West Ham,24,-16,32,27,18
2019,27,Watford,24,-19,24,27,19
2019,27,Norwich,18,-27,24,27,20
2019,28,Liverpool,82,45,66,29,1
2019,28,Manchester City,57,39,68,27,2
2019,28,Leicester,50,26,54,28,3
2019,28,Chelsea,45,8,47,28,4
2019,28,Manchester United,42,12,42,28,5
2019,28,Wolves,42,7,41,28,6
2019,28,Tottenham,40,7,46,28,7
2019,28,Arsenal,40,4,40,28,8
2019,28,Sheffield Utd,40,4,29,27,9
2019,28,Burnley,38,-6,33,28,10
2019,28,Everton,37,-5,37,28,11
2019,28,Crystal Palace,36,-7,25,28,12
2019,28,Southampton,34,-16,35,28,13
2019,28,Newcastle,32,-17,24,28,14
2019,28,Brighton,28,-8,32,28,15
2019,28,West Ham,27,-15,35,29,16
2019,28,Watford,27,-16,27,28,17
2019,28,Bournemouth,27,-18,29,29,18
2019,28,Aston Villa,25,-18,34,27,19
2019,28,Norwich,21,-26,25,28,20
2019,29,Liverpool,82,45,66,29,1
2019,29,Manchester City,60,40,71,29,2
2019,29,Leicester,53,30,58,29,3
2019,29,Chelsea,48,12,51,29,4
2019,29,Manchester United,45,14,44,29,5
2019,29,Sheffield Utd,44,5,30,29,6
2019,29,Wolves,43,7,41,29,7
2019,29,Tottenham,41,7,47,29,8
2019,29,Arsenal,40,1,40,29,9
2019,29,Burnley,39,-6,34,29,10
2019,29,Crystal Palace,39,-6,26,29,11
2019,29,Everton,37,-9,37,29,12
2019,29,Newcastle,35,-16,25,29,13
2019,29,Southampton,34,-17,35,29,14
2019,29,Brighton,29,-8,32,29,15
2019,29,West Ham,27,-15,35,29,16
2019,29,Watford,27,-17,27,29,17
2019,29,Bournemouth,27,-18,29,29,18
2019,29,Aston Villa,26,-22,34,29,19
2019,29,Norwich,21,-27,25,29,20
2019,30,Liverpool,83,45,66,30,1
2019,30,Manchester City,63,45,76,30,2
2019,30,Leicester,54,30,59,30,3
2019,30,Chelsea,51,13,53,30,4
2019,30,Manchester United,46,14,45,30,5
2019,30,Wolves,46,9,43,30,6
2019,30,Sheffield Utd,44,2,30,30,7
2019,30,Tottenham,42,7,48,30,8
2019,30,Crystal Palace,42,-4,28,30,9
2019,30,Arsenal,40,0,41,30,10
2019,30,Burnley,39,-11,34,30,11
2019,30,Everton,38,-9,37,30,12
2019,30,Newcastle,38,-13,28,30,13
2019,30,Southampton,37,-14,38,30,14
2019,30,Brighton,32,-7,34,30,15
2019,30,Watford,28,-17,28,30,16
2019,30,West Ham,27,-17,35,30,17
2019,30,Bournemouth,27,-20,29,30,18
2019,30,Aston Villa,26,-23,35,30,19
2019,30,Norwich,21,-30,25,30,20
2019,31,Liverpool,86,49,70,31,1
2019,31,Manchester City,63,44,77,31,2
2019,31,Leicester,55,30,59,31,3
2019,31,Chelsea,54,14,55,31,4
2019,31,Manchester United,49,17,48,31,5
2019,31,Wolves,49,10,44,31,6
2019,31,Tottenham,45,9,50,31,7
2019,31,Sheffield Utd,44,-1,30,31,8
2019,31,Arsenal,43,2,43,31,9
2019,31,Crystal Palace,42,-8,28,31,10
2019,31,Burnley,42,-10,35,31,11
2019,31,Everton,41,-8,38,31,12
2019,31,Newcastle,39,-13,29,31,13
2019,31,Southampton,37,-16,38,31,14
2019,31,Brighton,33,-7,34,31,15
2019,31,Watford,28,-18,28,31,16
2019,31,West Ham,27,-19,35,31,17
2019,31,Bournemouth,27,-21,29,31,18
2019,31,Aston Villa,27,-23,36,31,19
2019,31,Norwich,21,-31,25,31,20
2019,32,Liverpool,86,45,70,32,1
2019,32,Manchester City,66,48,81,32,2
2019,32,Leicester,55,29,60,32,3
2019,32,Chelsea,54,13,57,32,4
2019,32,Manchester United,52,20,51,32,5
2019,32,Wolves,52,11,45,32,6
2019,32,Sheffield Utd,47,1,33,32,7
2019,32,Arsenal,46,6,47,32,8
2019,32,Tottenham,45,7,51,32,9
2019,32,Burnley,45,-9,36,32,10
2019,32,Everton,44,-7,40,32,11
2019,32,Crystal Palace,42,-9,28,32,12
2019,32,Newcastle,42,-10,33,32,13
2019,32,Southampton,40,-14,41,32,14
2019,32,Brighton,33,-10,34,32,15
2019,32,West Ham,30,-18,38,32,16
2019,32,Watford,28,-20,29,32,17
2019,32,Aston Villa,27,-24,36,32,18
2019,32,Bournemouth,27,-24,30,32,19
2019,32,Norwich,21,-35,25,32,20
2019,33,Liverpool,89,47,72,33,1
2019,33,Manchester City,66,47,81,33,2
2019,33,Leicester,58,32,63,33,3
2019,33,Chelsea,57,16,60,33,4
2019,33,Manchester United,55,23,56,33,5
2019,33,Wolves,52,9,45,33,6
2019,33,Arsenal,49,8,49,33,7
2019,33,Tottenham,48,8,52,33,8
2019,33,Sheffield Utd,48,1,34,33,9
2019,33,Burnley,46,-9,37,33,10
2019,33,Everton,44,-8,40,33,11
2019,33,Newcastle,43,-10,35,33,12
2019,33,Southampton,43,-13,42,33,13
